option	alpha	beta	num_valid_clusters	largest_cluster	num_edges_in_clustergraph	num_clusters	go_enrichment	adhd_genes	adhd_enriched_genes	autism_genes	autism_enriched_genes	bipolar_genes	bipolar_enriched_genes	mdd_genes	mdd_enriched_genes	schizophrenia_genes	schizophrenia_enriched_genes	gd_mean	gd_min	gd_25%	gd_50%	gd_75%	gd_max	md_mean	md_min	md_25%	md_50%	md_75%	md_max
0	0.0	0.0					100.0	3.0	0.0	5.0	0.0	0.0	0.0	1.0	0.0	11.0	0.0	3.351063829787234	1.0	2.0	2.0	3.0	48.0	25.847826086956523	1.0	2.0	5.0	23.25	345.0
2	0.01	0.3	22.0	1269.0	805016.0	22.0	19.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	1.6923076923076923	1.0	1.0	1.0	2.0	3.0	89.47619047619048	3.0	22.0	68.0	120.0	423.0
2	0.01	0.31	25.0	1261.0	796253.0	25.0	10.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	1.5294117647058822	1.0	1.0	1.0	2.0	4.0	87.04347826086956	3.0	19.0	71.0	115.0	423.0
2	0.01	0.32	22.0	1250.0	783166.0	22.0	24.0	14.0	0.0	12.0	3.0	1.0	0.0	3.0	0.0	16.0	0.0	1.6923076923076923	1.0	1.0	1.0	2.0	4.0	84.63636363636364	7.0	21.25	51.0	92.0	499.0
2	0.01	0.33	22.0	1250.0	783166.0	22.0	24.0	14.0	0.0	12.0	3.0	1.0	0.0	3.0	0.0	16.0	0.0	1.6923076923076923	1.0	1.0	1.0	2.0	4.0	84.63636363636364	7.0	21.25	51.0	92.0	499.0
2	0.01	0.34	235.0	1208.0	746591.0	235.0	21.0	14.0	0.0	12.0	8.0	1.0	0.0	3.0	0.0	16.0	2.0	5.6	1.0	2.0	4.0	8.0	24.0	9.931623931623932	1.0	2.0	2.0	2.0	290.0
2	0.01	0.35	232.0	1209.0	743500.0	232.0	22.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	2.0	5.837209302325581	1.0	2.0	4.0	8.0	26.0	10.791304347826086	1.0	2.0	2.0	2.0	290.0
2	0.01	0.36	233.0	1234.0	763892.0	233.0	22.0	14.0	0.0	12.0	5.0	1.0	0.0	3.0	0.0	16.0	6.0	5.767441860465116	1.0	2.0	5.0	8.5	20.0	10.711206896551724	1.0	2.0	2.0	2.0	290.0
2	0.01	0.37	237.0	1174.0	712116.0	237.0	23.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	4.0	5.354166666666667	1.0	2.0	4.0	6.25	23.0	11.324894514767932	1.0	2.0	2.0	2.0	290.0
2	0.01	0.38	237.0	1222.0	752970.0	237.0	26.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	2.0	5.630434782608695	1.0	2.0	4.0	6.0	22.0	12.004237288135593	1.0	2.0	2.0	2.0	290.0
2	0.01	0.39	238.0	1234.0	763015.0	238.0	19.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	2.0	5.404255319148936	1.0	2.0	4.0	7.0	22.0	10.729957805907173	1.0	2.0	2.0	2.0	290.0
2	0.01	0.4	241.0	1178.0	714919.0	241.0	28.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	4.0	5.416666666666667	1.0	2.0	4.0	8.0	22.0	11.8625	1.0	2.0	2.0	2.0	290.0
2	0.01	0.41	383.0	1189.0	722456.0	383.0	47.0	14.0	0.0	12.0	9.0	1.0	0.0	3.0	0.0	16.0	2.0	3.6607142857142856	1.0	1.0	1.0	4.0	32.0	8.381578947368421	1.0	2.0	2.0	3.0	237.0
2	0.01	0.42	387.0	1174.0	716041.0	387.0	45.0	14.0	0.0	12.0	2.0	1.0	0.0	3.0	0.0	16.0	2.0	3.7264957264957266	1.0	1.0	1.0	4.0	30.0	8.272727272727273	1.0	2.0	2.0	3.0	237.0
2	0.01	0.43	469.0	1211.0	737981.0	469.0	50.0	14.0	0.0	12.0	6.0	1.0	0.0	3.0	3.0	16.0	3.0	3.210843373493976	1.0	1.0	1.0	2.0	44.0	6.512875536480687	1.0	2.0	2.0	3.0	205.0
2	0.01	0.44	474.0	1166.0	698552.0	474.0	50.0	14.0	0.0	12.0	8.0	1.0	0.0	3.0	0.0	16.0	4.0	3.1705882352941175	1.0	1.0	1.0	2.0	47.0	6.706382978723404	1.0	2.0	2.0	3.0	205.0
2	0.01	0.45	531.0	1184.0	706810.0	531.0	54.0	14.0	0.0	12.0	5.0	1.0	0.0	3.0	0.0	16.0	2.0	2.8095238095238093	1.0	1.0	1.0	2.0	56.0	6.695238095238095	1.0	2.0	2.0	3.0	300.0
2	0.01	0.46	560.0	1180.0	707386.0	560.0	52.0	14.0	5.0	12.0	4.0	1.0	0.0	3.0	0.0	16.0	2.0	2.827272727272727	1.0	1.0	1.0	2.0	56.0	6.27124773960217	1.0	2.0	2.0	3.0	379.0
2	0.01	0.47	630.0	1203.0	726227.0	630.0	61.0	14.0	7.0	12.0	2.0	1.0	0.0	3.0	0.0	16.0	2.0	2.7279693486590038	1.0	1.0	1.0	2.0	62.0	6.4870550161812295	1.0	2.0	2.0	4.0	341.0
2	0.01	0.48	676.0	1130.0	661661.0	676.0	67.0	14.0	6.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	2.0	2.56	1.0	1.0	1.0	2.0	82.0	6.220389805097451	1.0	2.0	2.0	4.0	366.0
2	0.01	0.49	712.0	1121.0	643354.0	712.0	76.0	14.0	5.0	12.0	5.0	1.0	0.0	3.0	0.0	16.0	7.0	2.425	1.0	1.0	1.0	2.0	99.0	5.9886524822695035	1.0	2.0	2.0	4.0	362.0
2	0.02	0.3	12.0	1221.0	754798.0	12.0	3.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	1.5	1.0	1.0	1.0	2.0	3.0	166.9090909090909	47.0	68.0	91.0	228.5	578.0
2	0.02	0.31	12.0	1221.0	754798.0	12.0	3.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	1.5	1.0	1.0	1.0	2.0	3.0	166.9090909090909	47.0	68.0	91.0	228.5	578.0
2	0.02	0.32	12.0	1221.0	754798.0	12.0	3.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	1.5	1.0	1.0	1.0	2.0	3.0	166.9090909090909	47.0	68.0	91.0	228.5	578.0
2	0.02	0.33	12.0	1221.0	754798.0	12.0	3.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	1.5	1.0	1.0	1.0	2.0	3.0	166.9090909090909	47.0	68.0	91.0	228.5	578.0
2	0.02	0.34	143.0	1230.0	761380.0	143.0	16.0	14.0	0.0	12.0	0.0	1.0	1.0	3.0	0.0	16.0	2.0	6.166666666666667	1.0	1.0	3.0	9.25	20.0	14.797202797202797	1.0	2.0	2.0	2.0	224.0
2	0.02	0.35	144.0	1230.0	761380.0	144.0	15.0	14.0	0.0	12.0	0.0	1.0	1.0	3.0	0.0	16.0	2.0	6.0	1.0	1.0	2.0	9.0	20.0	14.659722222222221	1.0	2.0	2.0	2.0	217.0
2	0.02	0.36	145.0	1231.0	762369.0	145.0	19.0	14.0	0.0	12.0	0.0	1.0	1.0	3.0	0.0	16.0	2.0	6.04	1.0	1.0	3.0	8.0	20.0	15.482758620689655	1.0	2.0	2.0	2.0	347.0
2	0.02	0.37	143.0	1231.0	762369.0	143.0	22.0	14.0	0.0	12.0	0.0	1.0	1.0	3.0	0.0	16.0	2.0	6.681818181818182	1.0	1.25	4.5	9.5	19.0	15.335664335664335	1.0	2.0	2.0	2.0	538.0
2	0.02	0.38	141.0	1231.0	762369.0	141.0	13.0	14.0	0.0	12.0	0.0	1.0	1.0	3.0	0.0	16.0	2.0	6.636363636363637	1.0	1.25	4.5	10.0	19.0	15.432624113475176	1.0	2.0	2.0	2.0	538.0
2	0.02	0.39	143.0	1231.0	762369.0	143.0	13.0	14.0	0.0	12.0	0.0	1.0	1.0	3.0	0.0	16.0	2.0	6.333333333333333	1.0	1.0	3.0	9.25	21.0	15.894366197183098	1.0	2.0	2.0	2.0	538.0
2	0.02	0.4	142.0	1231.0	762403.0	142.0	13.0	14.0	0.0	12.0	0.0	1.0	1.0	3.0	0.0	16.0	2.0	6.521739130434782	1.0	1.0	3.0	9.5	21.0	15.886524822695035	1.0	2.0	2.0	2.0	538.0
2	0.02	0.41	219.0	1212.0	738854.0	219.0	24.0	14.0	0.0	12.0	2.0	1.0	1.0	3.0	0.0	16.0	2.0	4.82	1.0	1.0	2.0	6.0	35.0	12.091324200913242	1.0	2.0	2.0	3.0	463.0
2	0.02	0.42	225.0	1192.0	723793.0	225.0	30.0	14.0	0.0	12.0	2.0	1.0	1.0	3.0	0.0	16.0	2.0	4.625	1.0	1.0	2.0	5.25	35.0	12.688888888888888	1.0	2.0	2.0	3.0	463.0
2	0.02	0.43	276.0	1143.0	691308.0	276.0	40.0	14.0	0.0	12.0	2.0	1.0	1.0	3.0	0.0	16.0	4.0	4.338235294117647	1.0	1.0	1.0	5.0	47.0	11.376811594202898	1.0	2.0	2.0	4.0	330.0
2	0.02	0.44	277.0	1177.0	712789.0	277.0	44.0	14.0	0.0	12.0	2.0	1.0	0.0	3.0	0.0	16.0	4.0	4.194444444444445	1.0	1.0	1.0	5.0	46.0	11.36101083032491	1.0	2.0	2.0	4.0	330.0
2	0.02	0.45	288.0	1170.0	701540.0	288.0	50.0	14.0	5.0	12.0	4.0	1.0	0.0	3.0	0.0	16.0	2.0	4.746268656716418	1.0	1.0	1.0	3.5	58.0	11.414634146341463	1.0	2.0	2.0	4.0	400.0
2	0.02	0.46	318.0	1145.0	675167.0	318.0	52.0	14.0	5.0	12.0	4.0	1.0	0.0	3.0	0.0	16.0	5.0	4.228915662650603	1.0	1.0	1.0	3.0	70.0	11.199367088607595	1.0	2.0	3.0	4.0	590.0
2	0.02	0.47	346.0	1114.0	649253.0	346.0	58.0	14.0	5.0	12.0	4.0	1.0	0.0	3.0	0.0	16.0	6.0	3.857142857142857	1.0	1.0	1.0	3.0	75.0	10.286127167630058	1.0	2.0	3.0	5.0	572.0
2	0.02	0.48	365.0	1136.0	653206.0	365.0	62.0	14.0	6.0	12.0	9.0	1.0	0.0	3.0	0.0	16.0	8.0	3.560747663551402	1.0	1.0	1.0	2.0	91.0	9.69041095890411	1.0	2.0	3.0	6.0	611.0
2	0.02	0.49	377.0	1124.0	651863.0	377.0	63.0	14.0	6.0	12.0	3.0	1.0	0.0	3.0	0.0	16.0	12.0	3.4214876033057853	1.0	1.0	1.0	2.0	92.0	10.61968085106383	1.0	2.0	3.0	7.0	605.0
