Parent	Child	EdgeType
788	SEPT8	Gene-Term
788	SEPT1	Gene-Term
788	SEPT6	Gene-Term
788	SEPT11	Gene-Term
789	HNRNPD	Gene-Term
789	FUS	Gene-Term
789	HNRNPA3	Gene-Term
789	HNRNPH2	Gene-Term
790	COPS5	Gene-Term
790	COPS4	Gene-Term
790	FBXO2	Gene-Term
790	FBXL20	Gene-Term
791	PSEN1	Gene-Term
791	RAB5C	Gene-Term
791	DNAJC5	Gene-Term
791	ARL8A	Gene-Term
791	SYNGR1	Gene-Term
792	ACTN2	Gene-Term
792	ACTN1	Gene-Term
792	FGA	Gene-Term
792	CLU	Gene-Term
792	SRGN	Gene-Term
793	FZD5	Gene-Term
793	WNT5A	Gene-Term
793	PLCB1	Gene-Term
793	PLCB3	Gene-Term
793	GNG3	Gene-Term
794	RPS27	Gene-Term
794	CDC42	Gene-Term
794	PPP1CC	Gene-Term
794	DYNLL2	Gene-Term
794	NDEL1	Gene-Term
795	LGI1	Gene-Term
795	ADAM22	Gene-Term
795	ADAM23	Gene-Term
795	CACNG8	Gene-Term
795	CACNG4	Gene-Term
796	YWHAG	Gene-Term
796	RAB11A	Gene-Term
796	TUBA1A	Gene-Term
796	PRKACA	Gene-Term
796	NPHP4	Gene-Term
797	AGRN	Gene-Term
797	GPC1	Gene-Term
797	GPC4	Gene-Term
797	CSPG5	Gene-Term
797	BCAN	Gene-Term
798	CYFIP2	Gene-Term
798	CYFIP1	Gene-Term
798	FMR1	Gene-Term
798	FXR2	Gene-Term
798	NUFIP1	Gene-Term
799	ATP6V0D1	Gene-Term
799	FXYD6	Gene-Term
799	ATP1A2	Gene-Term
799	ATP1A3	Gene-Term
799	ATP1A1	Gene-Term
800	CNR1	Gene-Term
800	DAGLB	Gene-Term
800	DAGLA	Gene-Term
800	ABHD6	Gene-Term
800	NAAA	Gene-Term
801	PENK	Gene-Term
801	ADAM10	Gene-Term
801	C4A	Gene-Term
801	FGA	Gene-Term
801	SPARCL1	Gene-Term
801	WFS1	Gene-Term
802	SEC22B	Gene-Term
802	ARF1	Gene-Term
802	ARFGAP1	Gene-Term
802	KIF1A	Gene-Term
802	KIF5A	Gene-Term
802	TMED9	Gene-Term
803	NEDD4	Gene-Term
803	FBXO2	Gene-Term
803	ZNRF1	Gene-Term
803	ZNRF2	Gene-Term
803	RNF19A	Gene-Term
803	TRIM9	Gene-Term
803	FBXL20	Gene-Term
804	NRCAM	Gene-Term
804	ANK3	Gene-Term
804	ANK2	Gene-Term
804	SPTBN1	Gene-Term
804	SCN2A	Gene-Term
804	ANK1	Gene-Term
804	SCN10A	Gene-Term
805	SRC	Gene-Term
805	EPHB2	Gene-Term
805	EGFR	Gene-Term
805	STAT3	Gene-Term
805	NTF3	Gene-Term
805	NTRK3	Gene-Term
805	PTPRO	Gene-Term
806	ACTN2	Gene-Term
806	ACTN1	Gene-Term
806	ACTB	Gene-Term
806	GRIN1	Gene-Term
806	GRIN2D	Gene-Term
806	PTK2B	Gene-Term
806	PDLIM5	Gene-Term
807	NAPA	Gene-Term
807	NAPG	Gene-Term
807	ANK3	Gene-Term
807	ANK2	Gene-Term
807	SPTBN1	Gene-Term
807	ANK1	Gene-Term
807	TMED9	Gene-Term
808	MTOR	Gene-Term
808	RPS6KB1	Gene-Term
808	RHEB	Gene-Term
808	GAK	Gene-Term
808	MAF1	Gene-Term
808	CRKL	Gene-Term
808	HPCA	Gene-Term
809	UNC13B	Gene-Term
809	MYH10	Gene-Term
809	PRKCZ	Gene-Term
809	GRIN1	Gene-Term
809	ATP2B2	Gene-Term
809	ERC2	Gene-Term
809	CABP4	Gene-Term
810	SEC22B	Gene-Term
810	CASK	Gene-Term
810	GDI2	Gene-Term
810	RAB11B	Gene-Term
810	RAB11A	Gene-Term
810	TRAPPC4	Gene-Term
810	RAB33B	Gene-Term
811	SYT1	Gene-Term
811	CPLX1	Gene-Term
811	BCAN	Gene-Term
811	SYT10	Gene-Term
811	SYNGR1	Gene-Term
811	RAB3C	Gene-Term
811	SVOP	Gene-Term
812	APH1A	Gene-Term
812	PSEN1	Gene-Term
812	CTNNB1	Gene-Term
812	ERBB4	Gene-Term
812	ADAM10	Gene-Term
