Parent	Child	EdgeType
GO:0000785	GO:0000786	Child-Parent
GO:0000785	GO:0000789	Child-Parent
GO:0000785	GO:0000790	Child-Parent
GO:0000785	GO:0000791	Child-Parent
GO:0000785	GO:0000792	Child-Parent
GO:0000785	GO:0035327	Child-Parent
GO:0000785	GO:0035328	Child-Parent
GO:0000785	GO:0061638	Child-Parent
GO:0000786	GO:0000787	Child-Parent
GO:0000786	GO:0000788	Child-Parent
GO:0000786	GO:0043505	Child-Parent
GO:0000789	GO:0000787	Child-Parent
GO:0000790	GO:0000788	Child-Parent
GO:0000790	GO:0005719	Child-Parent
GO:0000790	GO:0005720	Child-Parent
GO:0000790	GO:0005726	Child-Parent
GO:0000790	GO:0030874	Child-Parent
GO:0000790	GO:0032798	Child-Parent
GO:0000790	GO:0034967	Child-Parent
GO:0000790	GO:0034974	Child-Parent
GO:0000790	GO:0070209	Child-Parent
GO:0000790	GO:0070210	Child-Parent
GO:0000790	GO:0070211	Child-Parent
GO:0000790	GO:0070603	Child-Parent
GO:0000790	GO:0070822	Child-Parent
GO:0000790	GO:0070823	Child-Parent
GO:0000790	GO:1904834	Child-Parent
GO:0000790	GO:1990483	Child-Parent
GO:0000791	GO:0005719	Child-Parent
GO:0000792	GO:0005720	Child-Parent
GO:0000792	GO:0005721	Child-Parent
GO:0000792	GO:0031933	Child-Parent
GO:0000792	GO:0031934	Child-Parent
GO:0000792	GO:0033503	Child-Parent
GO:0000792	GO:0033553	Child-Parent
GO:0000792	GO:0035985	Child-Parent
GO:0000792	GO:1990421	Child-Parent
GO:0001739	GO:0098578	Child-Parent
GO:0001739	GO:0098580	Child-Parent
GO:0005720	GO:0001739	Child-Parent
GO:0005720	GO:0005724	Child-Parent
GO:0005720	GO:0005725	Child-Parent
GO:0005720	GO:0030958	Child-Parent
GO:0005720	GO:0031618	Child-Parent
GO:0005720	GO:1902377	Child-Parent
GO:0005720	GO:1990342	Child-Parent
GO:0005720	GO:1990343	Child-Parent
GO:0005720	GO:1990707	Child-Parent
GO:0005721	GO:0005722	Child-Parent
GO:0005721	GO:0005723	Child-Parent
GO:0005721	GO:0031618	Child-Parent
GO:0016587	GO:0036436	Child-Parent
GO:0016587	GO:0036437	Child-Parent
GO:0030874	GO:0005731	Child-Parent
GO:0030874	GO:0030875	Child-Parent
GO:0030874	GO:0097424	Child-Parent
GO:0031010	GO:0008623	Child-Parent
GO:0031010	GO:0016587	Child-Parent
GO:0031010	GO:0016589	Child-Parent
GO:0031010	GO:0016590	Child-Parent
GO:0031010	GO:0031213	Child-Parent
GO:0031010	GO:0090535	Child-Parent
GO:0031010	GO:0090536	Child-Parent
GO:0031010	GO:0090537	Child-Parent
GO:0031933	GO:0005724	Child-Parent
GO:0033553	GO:1902377	Child-Parent
GO:0061638	GO:0043505	Child-Parent
GO:0061638	GO:1904834	Child-Parent
GO:0070603	GO:0016514	Child-Parent
GO:0070603	GO:0016586	Child-Parent
GO:0070603	GO:0031010	Child-Parent
GO:0070603	GO:0035060	Child-Parent
GO:0070603	GO:0071564	Child-Parent
GO:0070603	GO:0071565	Child-Parent
GO:0070603	GO:0090545	Child-Parent
GO:0070603	GO:0097346	Child-Parent
GO:0070603	GO:0110016	Child-Parent
GO:0070603	GO:0140091	Child-Parent
GO:0070603	GO:0140092	Child-Parent
GO:0070603	GO:0140093	Child-Parent
GO:0070603	GO:0140288	Child-Parent
GO:0070822	GO:0016580	Child-Parent
GO:0070822	GO:0032221	Child-Parent
GO:0070822	GO:0033698	Child-Parent
GO:0090545	GO:0016581	Child-Parent
GO:0097346	GO:0000812	Child-Parent
GO:0097346	GO:0031011	Child-Parent
GO:1990421	GO:1990707	Child-Parent
GO:0031011	AC007998.2	Gene-Term
GO:0000786	AC021097.2	Gene-Term
GO:0000812	AC106886.5	Gene-Term
GO:0000790	AC243547.3	Gene-Term
GO:0000790	ACTB	Gene-Term
GO:0016514	ACTL6A	Gene-Term
GO:0071564	ACTL6A	Gene-Term
GO:0031011	ACTL6A	Gene-Term
GO:0016514	ACTL6B	Gene-Term
GO:0071565	ACTL6B	Gene-Term
GO:0031011	ACTR5	Gene-Term
GO:0031011	ACTR8	Gene-Term
GO:0035327	AFF4	Gene-Term
GO:0000785	AHCTF1	Gene-Term
GO:0000785	AKAP8L	Gene-Term
GO:0000786	AL031777.3	Gene-Term
GO:0000790	AL031777.3	Gene-Term
GO:0000786	AL121578.2	Gene-Term
GO:0005719	ALKBH1	Gene-Term
GO:0000785	ANKRD17	Gene-Term
GO:0000791	ANKRD2	Gene-Term
GO:0000812	ANP32E	Gene-Term
GO:0000790	APTX	Gene-Term
GO:0000790	AR	Gene-Term
GO:0016514	ARID1A	Gene-Term
GO:0071564	ARID1A	Gene-Term
GO:0071565	ARID1A	Gene-Term
GO:0016514	ARID1B	Gene-Term
GO:0071565	ARID1B	Gene-Term
GO:0000785	ARRB1	Gene-Term
GO:0000790	ASF1A	Gene-Term
GO:0000790	ASF1B	Gene-Term
GO:0005719	ASH2L	Gene-Term
GO:0000790	ASXL1	Gene-Term
GO:0000790	ASXL2	Gene-Term
GO:0000790	ASXL3	Gene-Term
GO:1990707	ATRX	Gene-Term
GO:0031618	ATRX	Gene-Term
GO:0031933	ATRX	Gene-Term
GO:0016590	BAZ1A	Gene-Term
GO:0008623	BAZ1A	Gene-Term
GO:0005721	BAZ1B	Gene-Term
GO:0033553	BAZ2A	Gene-Term
GO:0035327	BCAS3	Gene-Term
GO:0005720	BEND3	Gene-Term
GO:0016514	BICRA	Gene-Term
GO:0016514	BICRAL	Gene-Term
GO:0000790	BORCS8-MEF2B	Gene-Term
GO:0016589	BPTF	Gene-Term
GO:0000812	BRD8	Gene-Term
GO:0016514	BRD9	Gene-Term
GO:0070822	BRMS1	Gene-Term
GO:0070822	BRMS1L	Gene-Term
GO:0000790	BUD31	Gene-Term
GO:0016589	C17orf49	Gene-Term
GO:0000790	CALCOCO1	Gene-Term
GO:0000785	CAPN2	Gene-Term
GO:0005720	CBX1	Gene-Term
GO:0000792	CBX2	Gene-Term
GO:0000791	CBX2	Gene-Term
GO:0005719	CBX3	Gene-Term
GO:0031618	CBX3	Gene-Term
GO:0031618	CBX5	Gene-Term
GO:0000792	CBX6	Gene-Term
GO:0000790	CBX7	Gene-Term
GO:0000792	CBX8	Gene-Term
GO:0000790	CBX8	Gene-Term
GO:0000790	CCAR2	Gene-Term
GO:0000785	CCND2	Gene-Term
GO:0000790	CDCA5	Gene-Term
GO:0000790	CDK12	Gene-Term
GO:0000790	CDK13	Gene-Term
GO:0000785	CDK4	Gene-Term
GO:0000790	CDK9	Gene-Term
GO:0035985	CDKN2A	Gene-Term
GO:0000790	CEBPB	Gene-Term
GO:0090537	CECR2	Gene-Term
GO:0000788	CENPA	Gene-Term
GO:0031618	CENPA	Gene-Term
GO:0031618	CENPB	Gene-Term
GO:0031618	CENPC	Gene-Term
GO:0000785	CENPF	Gene-Term
GO:0000790	CHAF1A	Gene-Term
GO:0000790	CHAF1B	Gene-Term
GO:0016581	CHD3	Gene-Term
GO:0016581	CHD4	Gene-Term
GO:0000792	CHD5	Gene-Term
GO:0016581	CHD5	Gene-Term
GO:0000785	CHEK1	Gene-Term
GO:0000785	CHMP2A	Gene-Term
GO:0000785	CHMP7	Gene-Term
GO:0008623	CHRAC1	Gene-Term
GO:0000790	CITED2	Gene-Term
GO:0000785	COPS5	Gene-Term
GO:0000790	COPS9	Gene-Term
GO:0005726	CPSF6	Gene-Term
GO:0005719	CREB1	Gene-Term
GO:0000790	CREB3L1	Gene-Term
GO:0000785	CREB3L2	Gene-Term
GO:0000790	CREBBP	Gene-Term
GO:0016581	CSNK2A1	Gene-Term
GO:0016580	CSNK2A1	Gene-Term
GO:0000785	CSNK2A2	Gene-Term
GO:0000785	CSNK2B	Gene-Term
GO:0005719	CTNNB1	Gene-Term
GO:0035327	CTR9	Gene-Term
GO:0000790	DDX11	Gene-Term
GO:0000792	DDX6	Gene-Term
GO:0000790	DFFA	Gene-Term
GO:0000790	DFFB	Gene-Term
GO:0005726	DHX9	Gene-Term
GO:0000790	DLX5	Gene-Term
GO:0005721	DNMT1	Gene-Term
GO:0005720	DNMT3A	Gene-Term
GO:0000791	DNMT3A	Gene-Term
GO:0000791	DNTT	Gene-Term
GO:0000790	DNTT	Gene-Term
GO:0071565	DPF1	Gene-Term
GO:0071565	DPF2	Gene-Term
GO:0071565	DPF3	Gene-Term
GO:0000785	DSCC1	Gene-Term
GO:0000790	DVL3	Gene-Term
GO:0000790	E2F1	Gene-Term
GO:0000790	E2F4	Gene-Term
GO:0001739	EED	Gene-Term
GO:0000790	EHMT2	Gene-Term
GO:0000785	EIF3E	Gene-Term
GO:0035327	ELL	Gene-Term
GO:0005720	EME1	Gene-Term
GO:0000790	EME2	Gene-Term
GO:0016586	EN1	Gene-Term
GO:0016586	EN2	Gene-Term
GO:0000790	ENC1	Gene-Term
GO:0000790	EOMES	Gene-Term
GO:0000812	EP400	Gene-Term
GO:0000785	ESCO1	Gene-Term
GO:0031618	ESCO2	Gene-Term
GO:0035327	ESR1	Gene-Term
GO:0000790	ESR1	Gene-Term
GO:0000790	ETV3	Gene-Term
GO:0035327	EXOSC10	Gene-Term
GO:0035327	EXOSC3	Gene-Term
GO:0035327	EXOSC4	Gene-Term
GO:0035327	EXOSC5	Gene-Term
GO:0000790	EZH2	Gene-Term
GO:0000785	FAM111A	Gene-Term
GO:0000785	FANK1	Gene-Term
GO:0000785	FBH1	Gene-Term
GO:0000790	FER	Gene-Term
GO:0005720	FOXC1	Gene-Term
GO:0000790	FOXD3	Gene-Term
GO:0000790	FOXH1	Gene-Term
GO:0000790	GABPA	Gene-Term
GO:0000790	GATA3	Gene-Term
GO:0000790	GATA5	Gene-Term
GO:0016581	GATAD2A	Gene-Term
GO:0016581	GATAD2B	Gene-Term
GO:0000786	GLYR1	Gene-Term
GO:0005719	H1F0	Gene-Term
GO:0000786	H1F0	Gene-Term
GO:0000790	H1FNT	Gene-Term
GO:0000786	H1FOO	Gene-Term
GO:0000786	H1FX	Gene-Term
GO:0035327	H2AFB1	Gene-Term
GO:0000788	H2AFB1	Gene-Term
GO:0035327	H2AFB2	Gene-Term
GO:0000788	H2AFB2	Gene-Term
GO:0035327	H2AFB3	Gene-Term
GO:0000788	H2AFB3	Gene-Term
GO:0000786	H2AFJ	Gene-Term
GO:0000790	H2AFJ	Gene-Term
GO:0000786	H2AFV	Gene-Term
