Parent	Child	EdgeType
1680	C11orf85	Gene-Term
1680	CCDC79	Gene-Term
1680	C15orf43	Gene-Term
1681	RAB3A	Gene-Term
1681	RAB3GAP1	Gene-Term
1681	DMXL2	Gene-Term
1681	RAB3GAP2	Gene-Term
1682	RPS9	Gene-Term
1682	EIF3A	Gene-Term
1682	EIF3B	Gene-Term
1682	EIF3M	Gene-Term
1683	LRRC7	Gene-Term
1683	CYFIP1	Gene-Term
1683	RAB27A	Gene-Term
1683	CHI3L1	Gene-Term
1684	USP14	Gene-Term
1684	UBA52	Gene-Term
1684	VCP	Gene-Term
1684	PLAA	Gene-Term
1685	CYFIP1	Gene-Term
1685	ABI2	Gene-Term
1685	WASF1	Gene-Term
1685	BRK1	Gene-Term
1686	ALCAM	Gene-Term
1686	GRASP	Gene-Term
1686	CNTN6	Gene-Term
1686	CD6	Gene-Term
1687	CYFIP1	Gene-Term
1687	CYFIP2	Gene-Term
1687	WASF1	Gene-Term
1687	NCKAP1	Gene-Term
1688	CDH1	Gene-Term
1688	CTNND1	Gene-Term
1688	CTNNB1	Gene-Term
1688	FER	Gene-Term
1689	DOC2A	Gene-Term
1689	PRRT2	Gene-Term
1689	CORO1A	Gene-Term
1689	KCTD13	Gene-Term
1690	RHEB	Gene-Term
1690	EIF4EBP1	Gene-Term
1690	MTOR	Gene-Term
1690	RPTOR	Gene-Term
1691	RPS3	Gene-Term
1691	EIF3A	Gene-Term
1691	EIF3B	Gene-Term
1691	EIF3G	Gene-Term
1692	STX2	Gene-Term
1692	SNAP23	Gene-Term
1692	SNAP29	Gene-Term
1692	VAMP8	Gene-Term
1693	C1QB	Gene-Term
1693	C1QC	Gene-Term
1693	C4A	Gene-Term
1693	C4B	Gene-Term
1694	CNR1	Gene-Term
1694	ABHD6	Gene-Term
1694	DAGLA	Gene-Term
1694	DAGLB	Gene-Term
1694	NAAA	Gene-Term
1695	USH2A	Gene-Term
1695	CLRN1	Gene-Term
1695	TULP1	Gene-Term
1695	CNGB1	Gene-Term
1695	PRPH2	Gene-Term
1696	DMTN	Gene-Term
1696	MARCKS	Gene-Term
1696	ADD2	Gene-Term
1696	ADD3	Gene-Term
1696	ADD1	Gene-Term
1697	RPS3	Gene-Term
1697	EIF3A	Gene-Term
1697	EIF3B	Gene-Term
1697	RPS20	Gene-Term
1697	EIF3I	Gene-Term
1698	PSEN1	Gene-Term
1698	NCSTN	Gene-Term
1698	PSENEN	Gene-Term
1698	PSEN2	Gene-Term
1698	APH1B	Gene-Term
1699	CAD	Gene-Term
1699	GAD1	Gene-Term
1699	GAD2	Gene-Term
1699	GLUL	Gene-Term
1699	GOT1	Gene-Term
1700	PSMC5	Gene-Term
1700	PSMC4	Gene-Term
1700	PSMA3	Gene-Term
1700	PSMA7	Gene-Term
1700	PSMB8	Gene-Term
1701	RPL30	Gene-Term
1701	RPL10A	Gene-Term
1701	RPS27	Gene-Term
1701	RPS17	Gene-Term
1701	RPL36AL	Gene-Term
1702	AP2B1	Gene-Term
1702	CLTA	Gene-Term
1702	WNT5A	Gene-Term
1702	CLTB	Gene-Term
1702	FZD5	Gene-Term
1702	ROR1	Gene-Term
1703	USH1C	Gene-Term
1703	CIB2	Gene-Term
1703	USH2A	Gene-Term
1703	MYO7A	Gene-Term
1703	PCDH15	Gene-Term
1703	CLRN1	Gene-Term
1704	RHOA	Gene-Term
1704	DLG4	Gene-Term
1704	CDC42	Gene-Term
1704	RAC1	Gene-Term
1704	FYN	Gene-Term
1704	ARHGAP33	Gene-Term
1705	PSMC5	Gene-Term
1705	PSMC2	Gene-Term
1705	PSMC4	Gene-Term
1705	PSMA8	Gene-Term
1705	PSMD10	Gene-Term
1705	ADRM1	Gene-Term
1706	VCP	Gene-Term
1706	SIGMAR1	Gene-Term
1706	SPG11	Gene-Term
1706	FUS	Gene-Term
1706	CHMP2B	Gene-Term
1706	ALS2	Gene-Term
1707	CDH1	Gene-Term
1707	AKT1	Gene-Term
1707	THY1	Gene-Term
1707	SPARC	Gene-Term
1707	CDH11	Gene-Term
1707	POSTN	Gene-Term
1708	EIF2S1	Gene-Term
1708	EIF2B1	Gene-Term
1708	EIF2B2	Gene-Term
1708	EIF2B5	Gene-Term
1708	EIF2B3	Gene-Term
1708	EIF2B4	Gene-Term
1709	RPS3	Gene-Term
1709	RPS18	Gene-Term
1709	RPS9	Gene-Term
1709	EIF3A	Gene-Term
1709	EIF3B	Gene-Term
1709	EIF3E	Gene-Term
1710	CDH1	Gene-Term
1710	SRC	Gene-Term
1710	SYP	Gene-Term
1710	SNAP25	Gene-Term
1710	CTTN	Gene-Term
1710	SNAPIN	Gene-Term
1710	SRCIN1	Gene-Term
1711	GSK3B	Gene-Term
1711	EEF2	Gene-Term
1711	EIF4E	Gene-Term
1711	SNCA	Gene-Term
1711	EIF4EBP1	Gene-Term
1711	GSK3A	Gene-Term
1711	EIF2B5	Gene-Term
1712	SLC4A7	Gene-Term
1712	SRC	Gene-Term
1712	NSF	Gene-Term
1712	FGFR2	Gene-Term
1712	PPP3CB	Gene-Term
1712	ELAVL1	Gene-Term
1712	SLC1A1	Gene-Term
1713	CAMK2G	Gene-Term
1713	CAMK2B	Gene-Term
1713	CAMK2A	Gene-Term
1713	HRAS	Gene-Term
1713	AKAP9	Gene-Term
1713	JAK2	Gene-Term
1713	BRAF	Gene-Term
1714	SEPT5	Gene-Term
1714	SEPT8	Gene-Term
1714	SEPT6	Gene-Term
1714	SEPT3	Gene-Term
1714	SEPT4	Gene-Term
1714	SEPT11	Gene-Term
1714	SEPT1	Gene-Term
1715	DRD5	Gene-Term
1715	LAMP1	Gene-Term
1715	TH	Gene-Term
1715	DDC	Gene-Term
1715	RIMS1	Gene-Term
1715	DRD1	Gene-Term
1715	SLC17A5	Gene-Term
1716	RHOA	Gene-Term
1716	CDC42	Gene-Term
1716	RAC1	Gene-Term
1716	PLEKHG5	Gene-Term
1716	ARHGEF15	Gene-Term
1716	DNMBP	Gene-Term
1716	ARHGAP39	Gene-Term
1717	NAPG	Gene-Term
1717	NSF	Gene-Term
1717	VAMP4	Gene-Term
1717	STX16	Gene-Term
1717	STX6	Gene-Term
1717	NAPA	Gene-Term
1717	RAB6B	Gene-Term
1718	CDH1	Gene-Term
1718	STX4	Gene-Term
1718	CTNND1	Gene-Term
1718	EXOC4	Gene-Term
1718	CTNNB1	Gene-Term
1718	EXOC3	Gene-Term
1718	CTNNA1	Gene-Term
1719	HTR3A	Gene-Term
1719	SLC6A4	Gene-Term
1719	SNCA	Gene-Term
1719	HTR1B	Gene-Term
1719	OPRD1	Gene-Term
1719	HTR2A	Gene-Term
1719	HTR3E	Gene-Term
1720	GNG3	Gene-Term
1720	WNT5A	Gene-Term
1720	GNB5	Gene-Term
1720	PLCB1	Gene-Term
1720	PLCB3	Gene-Term
1720	FZD5	Gene-Term
1720	FZD3	Gene-Term
1721	EPHB1	Gene-Term
1721	NRCAM	Gene-Term
1721	TENM2	Gene-Term
1721	LPHN1	Gene-Term
1721	NTNG1	Gene-Term
1721	ERC1	Gene-Term
1721	ERC2	Gene-Term
1722	ITGB3	Gene-Term
1722	SLC6A4	Gene-Term
1722	COMT	Gene-Term
1722	FGB	Gene-Term
1722	ATP2B1	Gene-Term
1722	APOE	Gene-Term
1722	MTHFR	Gene-Term
1723	SLC32A1	Gene-Term
1723	SNAP25	Gene-Term
1723	SLC1A2	Gene-Term
1723	SLC1A1	Gene-Term
1723	SLC1A3	Gene-Term
1723	SLC38A3	Gene-Term
1723	SLC1A6	Gene-Term
1724	PIP5K1C	Gene-Term
1724	ADRB1	Gene-Term
1724	ADCYAP1	Gene-Term
1724	ATP1A1	Gene-Term
1724	CALM1	Gene-Term
1724	SPTBN1	Gene-Term
1724	ADD1	Gene-Term
1725	NTS	Gene-Term
1725	SLC18A2	Gene-Term
1725	ADORA1	Gene-Term
1725	SLC1A2	Gene-Term
1725	ADORA2A	Gene-Term
1725	ADORA2B	Gene-Term
1725	SLC29A1	Gene-Term
1726	TH	Gene-Term
1726	DDC	Gene-Term
1726	TPH2	Gene-Term
1726	FGA	Gene-Term
1726	GPHN	Gene-Term
1726	HTT	Gene-Term
1726	KMO	Gene-Term
1727	ACTR2	Gene-Term
1727	VCP	Gene-Term
1727	UNC13D	Gene-Term
1727	VAT1	Gene-Term
1727	GDI2	Gene-Term
1727	MAPK1	Gene-Term
1727	FABP5	Gene-Term
1728	SYTL1	Gene-Term
1728	RAB27A	Gene-Term
1728	UNC13D	Gene-Term
1728	MYO5A	Gene-Term
1728	MYRIP	Gene-Term
1728	SYTL2	Gene-Term
1728	RAB27B	Gene-Term
1729	THY1	Gene-Term
1729	NTNG1	Gene-Term
1729	NTNG2	Gene-Term
1729	CNTN4	Gene-Term
1729	CNTN5	Gene-Term
1729	MDGA1	Gene-Term
1729	NRN1	Gene-Term
1730	RHOA	Gene-Term
1730	ACTB	Gene-Term
1730	CDC42	Gene-Term
1730	RAC1	Gene-Term
1730	PFN1	Gene-Term
1730	PFN2	Gene-Term
1730	SRGAP2	Gene-Term
1731	SEMA3F	Gene-Term
1731	GIPC1	Gene-Term
1731	PLXND1	Gene-Term
1731	NRP1	Gene-Term
1731	NRP2	Gene-Term
1731	SEMA4C	Gene-Term
1731	SEMA4F	Gene-Term
1731	SEMA3E	Gene-Term
1732	CACNG3	Gene-Term
1732	ADAM23	Gene-Term
1732	DLG4	Gene-Term
1732	LGI1	Gene-Term
1732	ADAM22	Gene-Term
1732	CACNG2	Gene-Term
1732	CACNG4	Gene-Term
1732	CACNG8	Gene-Term
1733	RHOA	Gene-Term
1733	PPP2CA	Gene-Term
1733	APP	Gene-Term
1733	SYNGAP1	Gene-Term
1733	PTEN	Gene-Term
1733	PLK2	Gene-Term
1733	SNCA	Gene-Term
1733	TSC1	Gene-Term
1734	STRN	Gene-Term
1734	PPP2CA	Gene-Term
1734	HTR3A	Gene-Term
1734	RAB3C	Gene-Term
1734	CTTNBP2	Gene-Term
1734	STRN4	Gene-Term
1734	MOB4	Gene-Term
1734	CALM1	Gene-Term
1735	AGRN	Gene-Term
1735	LRP8	Gene-Term
1735	APOE	Gene-Term
