Parent	Child	EdgeType
chromatin	nucleosome	Child-Parent
chromatin	cytoplasmic chromatin	Child-Parent
chromatin	nuclear chromatin	Child-Parent
chromatin	euchromatin	Child-Parent
chromatin	heterochromatin	Child-Parent
chromatin	transcriptionally active chromatin	Child-Parent
chromatin	transcriptionally silent chromatin	Child-Parent
chromatin	CENP-A containing chromatin	Child-Parent
nucleosome	cytoplasmic nucleosome	Child-Parent
nucleosome	nuclear nucleosome	Child-Parent
nucleosome	CENP-A containing nucleosome	Child-Parent
cytoplasmic chromatin	cytoplasmic nucleosome	Child-Parent
nuclear chromatin	nuclear nucleosome	Child-Parent
nuclear chromatin	nuclear euchromatin	Child-Parent
nuclear chromatin	nuclear heterochromatin	Child-Parent
nuclear chromatin	perichromatin fibrils	Child-Parent
nuclear chromatin	nucleolar chromatin	Child-Parent
nuclear chromatin	Swi5-Sfr1 complex	Child-Parent
nuclear chromatin	Set3 complex	Child-Parent
nuclear chromatin	Swi5-Swi2 complex	Child-Parent
nuclear chromatin	ASTRA complex	Child-Parent
nuclear chromatin	Rpd3L-Expanded complex	Child-Parent
nuclear chromatin	Snt2C complex	Child-Parent
nuclear chromatin	SWI/SNF superfamily-type complex	Child-Parent
nuclear chromatin	Sin3-type complex	Child-Parent
nuclear chromatin	HDA1 complex	Child-Parent
nuclear chromatin	nuclear CENP-A containing chromatin	Child-Parent
nuclear chromatin	Clr6 histone deacetylase complex I''	Child-Parent
euchromatin	nuclear euchromatin	Child-Parent
heterochromatin	nuclear heterochromatin	Child-Parent
heterochromatin	pericentric heterochromatin	Child-Parent
heterochromatin	telomeric heterochromatin	Child-Parent
heterochromatin	mating-type region heterochromatin	Child-Parent
heterochromatin	HULC complex	Child-Parent
heterochromatin	rDNA heterochromatin	Child-Parent
heterochromatin	senescence-associated heterochromatin focus	Child-Parent
heterochromatin	subtelomeric heterochromatin	Child-Parent
sex chromatin	condensed chromatin of inactivated sex chromosome	Child-Parent
sex chromatin	chromatin of active sex chromosome	Child-Parent
nuclear heterochromatin	sex chromatin	Child-Parent
nuclear heterochromatin	nuclear telomeric heterochromatin	Child-Parent
nuclear heterochromatin	intercalary heterochromatin	Child-Parent
nuclear heterochromatin	RITS complex	Child-Parent
nuclear heterochromatin	nuclear pericentric heterochromatin	Child-Parent
nuclear heterochromatin	nuclear rDNA heterochromatin	Child-Parent
nuclear heterochromatin	heterochromatin island	Child-Parent
nuclear heterochromatin	heterochromatin domain	Child-Parent
nuclear heterochromatin	nuclear subtelomeric heterochromatin	Child-Parent
pericentric heterochromatin	beta-heterochromatin	Child-Parent
pericentric heterochromatin	alpha-heterochromatin	Child-Parent
pericentric heterochromatin	nuclear pericentric heterochromatin	Child-Parent
Isw1 complex	Isw1a complex	Child-Parent
Isw1 complex	Isw1b complex	Child-Parent
