Parent	Child	EdgeType
GO:0098686	SLC30A3	Gene-Term
GO:0098686	SLC30A1	Gene-Term
GO:0098686	MT3	Gene-Term
GO:0099629	SEPT8	Gene-Term
GO:0099629	SEPT1	Gene-Term
GO:0099629	SEPT6	Gene-Term
GO:0099629	SEPT11	Gene-Term
GO:0098685	COPS5	Gene-Term
GO:0098685	COPS4	Gene-Term
GO:0098685	FBXO2	Gene-Term
GO:0098685	FBXL20	Gene-Term
GO:0032591	ABCC8	Gene-Term
GO:0032591	IQSEC2	Gene-Term
GO:0032591	KCNJ4	Gene-Term
GO:0032591	DDN	Gene-Term
GO:0098891	DGKQ	Gene-Term
GO:0098891	DGKI	Gene-Term
GO:0098891	CEL	Gene-Term
GO:0098891	DGKE	Gene-Term
GO:0098891	DGKB	Gene-Term
GO:0098982	CNR1	Gene-Term
GO:0098982	DAGLB	Gene-Term
GO:0098982	DAGLA	Gene-Term
GO:0098982	ABHD6	Gene-Term
GO:0098982	NAAA	Gene-Term
GO:0099026	AGRN	Gene-Term
GO:0099026	GPC1	Gene-Term
GO:0099026	GPC4	Gene-Term
GO:0099026	CSPG5	Gene-Term
GO:0099026	BCAN	Gene-Term
GO:0099629	SEC22B	Gene-Term
GO:0099629	TRAPPC4	Gene-Term
GO:0099629	MPST	Gene-Term
GO:0099629	CANX	Gene-Term
GO:0099056	ATP6V0D1	Gene-Term
GO:0099056	FXYD6	Gene-Term
GO:0099056	ATP1A2	Gene-Term
GO:0099056	ATP1A3	Gene-Term
GO:0099056	ATP1A1	Gene-Term
GO:0030285	HRAS	Gene-Term
GO:0030285	PRRT2	Gene-Term
GO:0030285	ELK1	Gene-Term
GO:0030285	CORO1A	Gene-Term
GO:0030285	SYNGR1	Gene-Term
GO:0044326	CYFIP2	Gene-Term
GO:0044326	CYFIP1	Gene-Term
GO:0044326	FMR1	Gene-Term
GO:0044326	FXR2	Gene-Term
GO:0044326	NUFIP1	Gene-Term
GO:0034592	PENK	Gene-Term
GO:0034592	ADAM10	Gene-Term
GO:0034592	C4A	Gene-Term
GO:0034592	FGA	Gene-Term
GO:0034592	SPARCL1	Gene-Term
GO:0034592	WFS1	Gene-Term
GO:0044327	MTOR	Gene-Term
GO:0044327	RPS6KB1	Gene-Term
GO:0044327	RHEB	Gene-Term
GO:0044327	GAK	Gene-Term
GO:0044327	MAF1	Gene-Term
GO:0044327	CRKL	Gene-Term
GO:0044327	HPCA	Gene-Term
GO:0032591	PSMC4	Gene-Term
GO:0032591	DLGAP1	Gene-Term
GO:0032591	ANK3	Gene-Term
GO:0032591	PACSIN1	Gene-Term
GO:0032591	MPP2	Gene-Term
GO:0032591	SYNGAP1	Gene-Term
GO:0032591	ANKS1B	Gene-Term
GO:0099523	NEDD4	Gene-Term
GO:0099523	FBXO2	Gene-Term
GO:0099523	ZNRF1	Gene-Term
GO:0099523	ZNRF2	Gene-Term
GO:0099523	RNF19A	Gene-Term
GO:0099523	TRIM9	Gene-Term
GO:0099523	FBXL20	Gene-Term
GO:0098690	SLC32A1	Gene-Term
GO:0098690	STX1A	Gene-Term
GO:0098690	GLRA1	Gene-Term
GO:0098690	GLRA4	Gene-Term
GO:0098690	GRIN1	Gene-Term
GO:0098690	GABRR1	Gene-Term
GO:0098690	SLC6A9	Gene-Term
GO:0099091	SRC	Gene-Term
GO:0099091	CDC42	Gene-Term
GO:0099091	RAC1	Gene-Term
GO:0099091	ENAH	Gene-Term
GO:0099091	ACTC1	Gene-Term
GO:0099091	DCC	Gene-Term
GO:0099091	ABLIM3	Gene-Term
GO:0098888	RPL30	Gene-Term
GO:0098888	NTRK2	Gene-Term
GO:0098888	NRXN2	Gene-Term
GO:0098888	CTNNA2	Gene-Term
GO:0098888	ASAP1	Gene-Term
GO:0098888	NEDD4	Gene-Term
GO:0098888	KIF1A	Gene-Term
GO:0098888	IGSF21	Gene-Term
GO:0098843	GAD1	Gene-Term
GO:0098843	WASF1	Gene-Term
GO:0098843	YWHAH	Gene-Term
GO:0098843	GABRA1	Gene-Term
GO:0098843	GRIA2	Gene-Term
GO:0098843	GRIA4	Gene-Term
GO:0098843	GRIA3	Gene-Term
GO:0098843	USP46	Gene-Term
GO:0030285	MYO7A	Gene-Term
GO:0030285	USH1C	Gene-Term
GO:0030285	PCDH15	Gene-Term
GO:0030285	USH2A	Gene-Term
GO:0030285	GPR98	Gene-Term
GO:0030285	DFNB31	Gene-Term
GO:0030285	WFS1	Gene-Term
GO:0030285	OTOF	Gene-Term
GO:0098871	FYN	Gene-Term
GO:0098871	CDC42	Gene-Term
GO:0098871	CALM1	Gene-Term
GO:0098871	DMD	Gene-Term
GO:0098871	PFN2	Gene-Term
GO:0098871	ACTB	Gene-Term
GO:0098871	ITPKA	Gene-Term
GO:0098871	CNN3	Gene-Term
GO:0099147	SRC	Gene-Term
GO:0099147	HRAS	Gene-Term
GO:0099147	AP3B1	Gene-Term
GO:0099147	ITGB3	Gene-Term
GO:0099147	RAP1A	Gene-Term
GO:0099147	ARRB1	Gene-Term
GO:0099147	ARRB2	Gene-Term
GO:0099147	FGA	Gene-Term
GO:0099147	CNKSR2	Gene-Term
GO:0098833	AKT1	Gene-Term
GO:0098833	ITSN1	Gene-Term
GO:0098833	GDI2	Gene-Term
GO:0098833	GAK	Gene-Term
GO:0098833	SH3GL2	Gene-Term
GO:0098833	CLTB	Gene-Term
GO:0098833	PICALM	Gene-Term
GO:0098833	RAB5B	Gene-Term
GO:0098833	DENND1A	Gene-Term
GO:0099092	CDC42	Gene-Term
GO:0099092	ARHGEF9	Gene-Term
GO:0099092	RAC1	Gene-Term
GO:0099092	ABR	Gene-Term
GO:0099092	OPHN1	Gene-Term
GO:0099092	ARHGAP44	Gene-Term
GO:0099092	KIF5A	Gene-Term
GO:0099092	ARHGAP39	Gene-Term
GO:0099092	ARHGAP22	Gene-Term
GO:0043195	CRHR2	Gene-Term
GO:0043195	ADCYAP1	Gene-Term
GO:0043195	GHRH	Gene-Term
GO:0043195	CALCA	Gene-Term
GO:0043195	ADCY8	Gene-Term
GO:0043195	DRD1	Gene-Term
GO:0043195	ADRB1	Gene-Term
GO:0043195	GNG3	Gene-Term
GO:0043195	ADORA2B	Gene-Term
GO:0098981	SNAP23	Gene-Term
GO:0098981	SNAP25	Gene-Term
GO:0098981	RAP1A	Gene-Term
GO:0098981	ADAM10	Gene-Term
GO:0098981	DNAJC5	Gene-Term
GO:0098981	PLD1	Gene-Term
GO:0098981	CHRNB4	Gene-Term
GO:0098981	P2RX1	Gene-Term
GO:0098981	PGRMC1	Gene-Term
GO:0030285	SLC32A1	Gene-Term
GO:0030285	GAD2	Gene-Term
GO:0030285	GABRG2	Gene-Term
GO:0030285	SLC17A7	Gene-Term
GO:0030285	SLC17A6	Gene-Term
GO:0030285	SYN1	Gene-Term
GO:0030285	LRP8	Gene-Term
GO:0030285	GABRD	Gene-Term
GO:0030285	SLC6A17	Gene-Term
GO:0099025	RPLP2	Gene-Term
GO:0099025	CDH1	Gene-Term
GO:0099025	CTNNB1	Gene-Term
GO:0099025	MYH9	Gene-Term
GO:0099025	PVRL1	Gene-Term
GO:0099025	AAK1	Gene-Term
GO:0099025	CNTN2	Gene-Term
GO:0099025	KIF1A	Gene-Term
GO:0099025	CADM3	Gene-Term
GO:0099025	SNAP25	Gene-Term
GO:0099025	LGI1	Gene-Term
GO:0099025	ADAM22	Gene-Term
GO:0099025	ADAM23	Gene-Term
GO:0099025	KCNA2	Gene-Term
GO:0099025	CACNG8	Gene-Term
GO:0099025	CACNG4	Gene-Term
GO:0099025	PRNP	Gene-Term
GO:0099025	KCNA1	Gene-Term
GO:0044305	ANK2	Gene-Term
GO:0044305	KCNIP3	Gene-Term
GO:0044305	GRIN1	Gene-Term
GO:0044305	KCNA2	Gene-Term
GO:0044305	ITPR1	Gene-Term
GO:0044305	VDAC1	Gene-Term
GO:0044305	PGRMC1	Gene-Term
GO:0044305	KCNA4	Gene-Term
GO:0044305	SIGMAR1	Gene-Term
GO:0044305	KCNA3	Gene-Term
GO:0099523	NRXN1	Gene-Term
GO:0099523	DTNBP1	Gene-Term
GO:0099523	GABRB2	Gene-Term
GO:0099523	ANK3	Gene-Term
GO:0099523	DRD2	Gene-Term
GO:0099523	SYN2	Gene-Term
GO:0099523	NOS1AP	Gene-Term
GO:0099523	PPP3CC	Gene-Term
GO:0099523	COMT	Gene-Term
GO:0099523	ZNF804A	Gene-Term
GO:0043083	NRXN1	Gene-Term
GO:0043083	DLGAP1	Gene-Term
GO:0043083	GRM1	Gene-Term
GO:0043083	NRG3	Gene-Term
GO:0043083	LRRTM2	Gene-Term
GO:0043083	GRIN1	Gene-Term
GO:0043083	GRM8	Gene-Term
GO:0043083	CADM2	Gene-Term
GO:0043083	CBLN1	Gene-Term
GO:0043083	GRID1	Gene-Term
GO:0098686	AKT1	Gene-Term
GO:0098686	PSEN1	Gene-Term
GO:0098686	EGFR	Gene-Term
GO:0098686	JAK2	Gene-Term
GO:0098686	ADAM10	Gene-Term
GO:0098686	PRKCZ	Gene-Term
GO:0098686	BACE1	Gene-Term
GO:0098686	RELA	Gene-Term
GO:0098686	AGER	Gene-Term
GO:0098686	MME	Gene-Term
GO:0044327	RPS27	Gene-Term
GO:0044327	CDC42	Gene-Term
GO:0044327	DNM2	Gene-Term
GO:0044327	TUBA1A	Gene-Term
GO:0044327	PPP1CC	Gene-Term
GO:0044327	DYNLL2	Gene-Term
GO:0044327	NEFL	Gene-Term
GO:0044327	NDEL1	Gene-Term
GO:0044327	CDK5R1	Gene-Term
GO:0044327	PPP1R1B	Gene-Term
GO:0098871	WASF1	Gene-Term
GO:0098871	ABI2	Gene-Term
GO:0098871	CYFIP2	Gene-Term
GO:0098871	CYFIP1	Gene-Term
GO:0098871	ABI1	Gene-Term
GO:0098871	ACTR2	Gene-Term
GO:0098871	WASF3	Gene-Term
GO:0098871	RAC1	Gene-Term
GO:0008021	VAMP2	Gene-Term
GO:0008021	SNAP25	Gene-Term
GO:0008021	STX1A	Gene-Term
GO:0008021	YWHAG	Gene-Term
GO:0008021	GAD2	Gene-Term
GO:0008021	PPFIA3	Gene-Term
GO:0008021	DNAJC5	Gene-Term
GO:0008021	VDAC1	Gene-Term
GO:0008021	SLC2A8	Gene-Term
GO:0008021	PPT1	Gene-Term
GO:0008021	GAP43	Gene-Term
GO:0098691	SLC32A1	Gene-Term
GO:0098691	SLC17A7	Gene-Term
GO:0098691	SLC17A6	Gene-Term
GO:0098691	DRD2	Gene-Term
GO:0098691	SLC18A3	Gene-Term
GO:0098691	SLC18A2	Gene-Term
GO:0098691	SLC18A1	Gene-Term
GO:0098691	COMT	Gene-Term
GO:0098691	SLC6A4	Gene-Term
GO:0098691	SLC6A2	Gene-Term
GO:0098691	HTR3B	Gene-Term
GO:0099025	EFNB2	Gene-Term
GO:0099025	EPHB1	Gene-Term
GO:0099025	PTEN	Gene-Term
GO:0099025	DMD	Gene-Term
GO:0099025	NRCAM	Gene-Term
GO:0099025	ANK2	Gene-Term
GO:0099025	DLG1	Gene-Term
GO:0099025	NRP1	Gene-Term
GO:0099025	NRP2	Gene-Term
GO:0098871	PSMA3	Gene-Term
GO:0098871	RPS9	Gene-Term
GO:0098871	COPS5	Gene-Term
GO:0098871	COPS4	Gene-Term
GO:0098871	SYT1	Gene-Term
GO:0098871	EIF3B	Gene-Term
GO:0098871	SNAPIN	Gene-Term
GO:0098871	PLCG1	Gene-Term
GO:0098871	PIP5K1C	Gene-Term
GO:0098845	RPLP2	Gene-Term
GO:0098845	SYT1	Gene-Term
GO:0098845	ARF1	Gene-Term
GO:0098845	ARFGAP1	Gene-Term
GO:0098845	ARF6	Gene-Term
GO:0098845	PSD	Gene-Term
GO:0098845	RAB11A	Gene-Term
GO:0098845	ASAP1	Gene-Term
GO:0098845	KCNIP3	Gene-Term
GO:0098845	SUMO1	Gene-Term
GO:0098845	CHRM1	Gene-Term
GO:0098981	PSMC4	Gene-Term
GO:0098981	GSK3B	Gene-Term
GO:0098981	YWHAH	Gene-Term
GO:0098981	RAB8B	Gene-Term
GO:0098981	GAK	Gene-Term
GO:0098981	PLD2	Gene-Term
GO:0098981	PPP1CC	Gene-Term
GO:0098981	HTT	Gene-Term
GO:0098981	RAB3C	Gene-Term
GO:0098981	SNCAIP	Gene-Term
GO:0098845	VAMP2	Gene-Term
GO:0098845	HRAS	Gene-Term
GO:0098845	RAB5A	Gene-Term
GO:0098845	RHEB	Gene-Term
GO:0098845	RTN4	Gene-Term
GO:0098845	GDI2	Gene-Term
GO:0098845	RAB5C	Gene-Term
GO:0098845	RAB4A	Gene-Term
GO:0098845	RABAC1	Gene-Term
GO:0098889	SNAP25	Gene-Term
GO:0098889	OPRM1	Gene-Term
GO:0098889	OPRK1	Gene-Term
GO:0098889	MDM2	Gene-Term
GO:0098889	DRD2	Gene-Term
GO:0098889	DRD1	Gene-Term
GO:0098889	CHRM1	Gene-Term
GO:0098889	KCNJ9	Gene-Term
GO:0098889	CNGB1	Gene-Term
GO:0098889	SLC6A1	Gene-Term
GO:0098889	RGS7BP	Gene-Term
GO:0098981	NRXN1	Gene-Term
GO:0098981	NLGN3	Gene-Term
GO:0098981	NRXN2	Gene-Term
GO:0098981	DLGAP2	Gene-Term
GO:0098981	DLGAP3	Gene-Term
GO:0098981	DLGAP1	Gene-Term
GO:0098981	SHANK1	Gene-Term
GO:0098981	GRM1	Gene-Term
GO:0098981	HOMER1	Gene-Term
GO:0098981	HOMER2	Gene-Term
GO:0098981	DLGAP4	Gene-Term
GO:0099091	CTNND1	Gene-Term
GO:0099091	PLCG1	Gene-Term
GO:0099091	SH3GL2	Gene-Term
GO:0099091	PTEN	Gene-Term
GO:0099091	DNM2	Gene-Term
GO:0099091	DLG1	Gene-Term
GO:0099091	NEFL	Gene-Term
GO:0099091	PLCB1	Gene-Term
GO:0099091	PLCB3	Gene-Term
GO:0099091	PLCB4	Gene-Term
GO:0099091	MTMR2	Gene-Term
GO:0099059	NTRK2	Gene-Term
GO:0099059	BDNF	Gene-Term
GO:0099059	OPRM1	Gene-Term
GO:0099059	OPRK1	Gene-Term
GO:0099059	ENSG00000196689	Gene-Term
GO:0099059	P2RX1	Gene-Term
GO:0099059	ADORA2B	Gene-Term
GO:0099059	P2RY1	Gene-Term
GO:0099059	P2RX6	Gene-Term
GO:0099059	P2RX4	Gene-Term
GO:0099059	P2RX5	Gene-Term
GO:0099059	P2RY4	Gene-Term
GO:0043197	ACTR2	Gene-Term
GO:0043197	CDC42	Gene-Term
GO:0043197	SHANK1	Gene-Term
GO:0043197	ARHGEF9	Gene-Term
GO:0043197	GDI2	Gene-Term
GO:0043197	WNT5A	Gene-Term
GO:0043197	FLNA	Gene-Term
GO:0043197	RAC1	Gene-Term
GO:0043197	LRRC4B	Gene-Term
GO:0043197	SH3KBP1	Gene-Term
GO:0043197	ARHGAP44	Gene-Term
GO:0043197	KIF5A	Gene-Term
GO:0098685	SRC	Gene-Term
GO:0098685	NRXN1	Gene-Term
GO:0098685	CASK	Gene-Term
GO:0098685	LIN7C	Gene-Term
GO:0098685	NUMB	Gene-Term
GO:0098685	PRKCI	Gene-Term
GO:0098685	PRKCZ	Gene-Term
GO:0098685	MPP2	Gene-Term
GO:0098685	DRD3	Gene-Term
GO:0098685	SYNGAP1	Gene-Term
GO:0098685	HTR2B	Gene-Term
GO:0098685	MPDZ	Gene-Term
GO:0099524	SLC32A1	Gene-Term
GO:0099524	EIF4E	Gene-Term
GO:0099524	SHANK1	Gene-Term
GO:0099524	PABPC1	Gene-Term
GO:0099524	MDM2	Gene-Term
GO:0099524	PTEN	Gene-Term
GO:0099524	SLC17A7	Gene-Term
GO:0099524	SYN1	Gene-Term
GO:0099524	NCS1	Gene-Term
GO:0099524	SHARPIN	Gene-Term
GO:0099524	IL1RAPL1	Gene-Term
GO:0099524	IL1RAPL2	Gene-Term
GO:0044326	RPL10A	Gene-Term
GO:0044326	RPL38	Gene-Term
GO:0044326	RPLP2	Gene-Term
GO:0044326	RPL6	Gene-Term
GO:0044326	RPL8	Gene-Term
GO:0044326	RPL30	Gene-Term
GO:0044326	EIF4E	Gene-Term
GO:0044326	PABPC1	Gene-Term
GO:0044326	DLGAP4	Gene-Term
GO:0044326	GRIK1	Gene-Term
GO:0098981	AGRN	Gene-Term
GO:0098981	DTNBP1	Gene-Term
GO:0098981	GABRB2	Gene-Term
GO:0098981	SNTB1	Gene-Term
GO:0098981	DMD	Gene-Term
GO:0098981	NOS1	Gene-Term
GO:0098981	NEFL	Gene-Term
GO:0098981	SSPN	Gene-Term
GO:0098981	CADM3	Gene-Term
GO:0098981	DTNA	Gene-Term
GO:0098981	SYNC	Gene-Term
GO:0098833	AP3D1	Gene-Term
GO:0098833	AP3B1	Gene-Term
GO:0098833	ARF1	Gene-Term
GO:0098833	VAMP7	Gene-Term
GO:0098833	DTNBP1	Gene-Term
