C1QC	C1QB	0.999
RPS18	RPS3	0.999
RPS3A	RPS3	0.999
PSMA3	PSMC4	0.999
RPL23	RPS9	0.999
RPL10A	RPL7	0.999
RPS27	RPL38	0.999
RPL23	RPS14	0.999
RPS27	RPL7	0.999
RPL14	RPL7	0.999
RPS18	RPS3A	0.999
RPL7	RPLP2	0.999
RPL6	RPL14	0.999
RPL5	RPS21	0.999
RPS14	RPL8	0.999
COPS5	COPS4	0.999
EEF2	RPS23	0.999
STX2	SNAP23	0.999
GAD1	SLC32A1	0.999
RPS18	RPS9	0.999
RPL30	RPL10A	0.999
RPS21	RPS3	0.999
RPS19	RPL14	0.999
RPL23	RPS23	0.999
VAMP2	SNAP25	0.999
RPL6	RPS21	0.999
RPS19	RPS23	0.999
RPL23	RPL6	0.999
RPS27	RPS9	0.999
EIF4E	EIF4EBP1	0.999
RPS21	RPS9	0.999
RPS19	RPS27	0.999
RPL10A	RPS3A	0.999
RPL10A	EEF2	0.999
RPL6	EEF2	0.999
RPL30	RPL6	0.999
RPL14	RPL5	0.999
RPS27	RPS21	0.999
CTNND1	SRC	0.999
RPS14	RPS9	0.999
RPL14	RPS3	0.999
RPL30	RPL14	0.999
RPS18	RPLP2	0.999
RPS18	RPL5	0.999
RPL6	RPS3A	0.999
RPLP2	RPS9	0.999
RPL6	RPS14	0.999
SNAP23	STX1A	0.999
RPS3	RPL8	0.999
YES1	CTNND1	0.999
RPL23	RPS21	0.999
RPL5	RPS23	0.999
RPL10A	RPL8	0.999
RPL7	RPL38	0.999
RPS13	RPS3A	0.999
RPS13	RPS27	0.999
RPS3A	RPL38	0.999
STX2	VAMP2	0.999
RPL10A	RPS21	0.999
RPL23	RPS18	0.999
RPL6	RPLP2	0.999
RPL23	RPL5	0.999
WASF1	ABI2	0.999
RPS13	RPL30	0.999
RPL23	RPS3	0.999
RPS13	RPLP2	0.999
RPL7	RPS9	0.999
RPL7	RPS23	0.999
RPS18	RPL8	0.999
RPL30	RPS18	0.999
RPS3A	EEF2	0.999
MTOR	EIF4EBP1	0.999
RPS13	RPL38	0.999
RPL6	RPS27	0.999
RPL10A	RPLP2	0.999
RPL30	RPL7	0.999
RPL30	RPS14	0.999
RPS14	RPS27	0.999
CYFIP2	WASF1	0.999
RPS27	RPLP2	0.999
RPL23	RPS27	0.999
STX4	SNAP23	0.999
RPL30	RPL5	0.999
RPS9	RPL8	0.999
RPS14	RPL5	0.999
RPS14	RPLP2	0.999
RPL14	RPS9	0.999
RPS3A	RPL7	0.999
RPS23	RPL8	0.999
RPL6	RPL8	0.999
RPS18	RPS21	0.999
RPS13	RPL5	0.999
USP14	PSMC4	0.999
RPL14	RPL38	0.999
RPS13	RPL14	0.999
RPLP2	EEF2	0.999
RPS14	RPL14	0.999
SYT1	STX1A	0.999
RPS13	RPS14	0.999
EPHB2	EFNB2	0.999
RPS27	RPL8	0.999
YES1	FYN	0.999
RPS3A	RPLP2	0.999
RPL23	RPS3A	0.999
CYFIP1	ABI2	0.999
EPHB2	EFNA5	0.999
RPS19	RPLP2	0.999
RPL10A	RPL5	0.999
RPL6	RPL5	0.999
RPL5	RPS3A	0.999
EEF2	RPL8	0.999
RPS9	RPS23	0.999
RPL30	RPS3A	0.999
RPS19	RPS21	0.999
AKT1	MTOR	0.999
RPS14	EEF2	0.999
RPL30	RPS27	0.999
HRAS	SOS1	0.999
RPL38	RPL8	0.999
RPL30	RPLP2	0.999
RPL5	RPLP2	0.999
RPLP2	RPS23	0.999
RPL10A	RPS23	0.999
RPS3A	RPL8	0.999
RPS19	RPL8	0.999
RPS13	RPS21	0.999
AKT1	PDPK1	0.999
NTF4	NTRK2	0.999
RPS14	RPS3	0.999
RPS18	RPL7	0.999
RPS19	RPL5	0.999
RPS13	RPL10A	0.999
RPS21	RPLP2	0.999
CYFIP2	ABI1	0.999
RPS13	RPL7	0.999
RPS13	RPS9	0.999
APH1A	PSEN1	0.999
EEF2	RPS3	0.999
RPL23	RPL38	0.999
RPS14	RPL7	0.999
RPS3A	RPS21	0.999
EEA1	RAB5A	0.999
RPLP2	RPS3	0.999
RPL5	EEF2	0.999
AKT1	GSK3B	0.999
PSMC5	PSMA3	0.999
RPS19	RPS14	0.999
RPL23	EEF2	0.999
RPS14	RPL10A	0.999
RPL14	RPL10A	0.999
PSMC2	USP14	0.999
RPL7	RPL8	0.999
RPL30	RPL23	0.999
RPL5	RPS9	0.999
RPS21	RPS23	0.999
RPL6	RPL7	0.999
SYT1	SNAP25	0.999
RPL30	RPS21	0.999
FYN	CDH1	0.999
RPL6	RPL10A	0.999
RPS21	RPL8	0.999
RPL30	RPL8	0.999
RPL10A	RPL38	0.999
RPS18	RPL10A	0.999
RPS13	RPL8	0.999
RPS9	RPS3	0.999
RPL7	EEF2	0.999
PSMC2	PSMC5	0.999
RPS14	RPS21	0.999
CTNND1	FYN	0.999
RPS23	RPS3	0.999
RPL5	RPL38	0.999
RPS14	RPS23	0.999
RPS21	RPL38	0.999
RPL6	RPS9	0.999
RPS14	RPS3A	0.999
MTOR	RPS6KB1	0.999
PSMC5	USP14	0.999
RPS13	RPS3	0.999
RPL14	RPLP2	0.999
RPL10A	RPS9	0.999
RPS19	RPL7	0.999
CYFIP1	WASF1	0.999
RPL38	RPS9	0.999
RPL6	RPS23	0.999
RPL6	RPS3	0.999
RPL23	RPLP2	0.999
CTNND1	CDH1	0.999
RPL6	RPL38	0.999
RPS19	RPL10A	0.999
RPLP2	RPL8	0.999
RPL38	RPS3	0.999
RPS18	RPS14	0.999
RPS13	RPL6	0.999
RPL30	RPS9	0.999
RPS27	RPS23	0.999
RPL14	RPS3A	0.999
RPL7	RPS3	0.999
RPS19	RPS9	0.999
RPL14	RPS27	0.999
RPL10A	RPS27	0.999
MTOR	RHEB	0.999
RPS3A	RPS23	0.999
RPS18	RPS27	0.999
STX3	VAMP2	0.999
RPS18	RPS23	0.999
RPL30	RPS3	0.999
RPL23	RPL8	0.999
RPS21	RPL7	0.999
RPS18	RPL38	0.999
PSMC5	PSMC4	0.999
RPL38	RPS23	0.999
PSMC2	PSMC4	0.999
AP3D1	AP3B1	0.999
RPL23	RPL10A	0.999
RPS13	RPS23	0.999
RPS13	EEF2	0.999
RPLP2	RPL38	0.999
RPL5	RPS27	0.999
RPS18	RPL14	0.999
RPL23	RPL7	0.999
SNAP25	STX1A	0.999
RPS19	RPS18	0.999
RPL14	RPS23	0.999
CTNNB1	CDH1	0.999
ACTR2	ARPC5L	0.999
RPL14	RPS21	0.999
RPL30	RPL38	0.999
RPL10A	RPS3	0.999
RPS27	RPS3	0.999
RPL30	EEF2	0.999
EEF2	RPS9	0.999
RPS19	RPL6	0.999
RPS27	RPS3A	0.999
RPS19	RPL30	0.999
RPL5	RPL8	0.999
RPL23	RPL14	0.999
FYN	CTNNB1	0.999
RPS18	EEF2	0.999
RPL5	RPS3	0.999
RPS19	RPS13	0.999
RPS19	RPL23	0.999
RPS3A	RPS9	0.999
RPS13	RPS18	0.999
STX3	SNAP23	0.999
RPS19	RPS3	0.999
PSMC2	PSMA3	0.999
RPS19	RPS3A	0.999
RPL5	RPL7	0.999
RPL14	RPL8	0.999
RPL30	RPS23	0.999
NTSR1	NTS	0.999
RPS13	RPL23	0.999
RPS19	RPL38	0.999
RPS14	RPL38	0.999
VAMP2	SNAP23	0.999
RPL6	RPS18	0.999
RPL38	EEF2	0.998
HRAS	EGFR	0.998
RPL14	EEF2	0.998
WASF1	ABI1	0.998
EPHB1	EFNB2	0.998
SEC22B	NAPA	0.998
NRXN1	NLGN3	0.998
EPHA7	EFNA5	0.998
BDNF	NTRK2	0.998
JAK2	STAT3	0.998
EGFR	STAT3	0.998
STX4	VAMP2	0.998
SRC	FYN	0.998
CPLX1	SNAP25	0.998
EPHB1	EFNA5	0.998
NTF3	NTRK3	0.998
CDC42	ITSN1	0.998
LIN7A	CASK	0.998
NLGN3	NRXN2	0.998
LGI1	ADAM22	0.998
CASK	LIN7B	0.998
CPLX1	SYT1	0.998
USP14	PSMA3	0.998
VAMP2	STX1A	0.998
RPS19	EEF2	0.998
ACTN2	ACTN1	0.998
CTNNB1	GSK3B	0.998
MT-ND2	NDUFS7	0.997
CYFIP1	WASF3	0.997
NTF3	NTRK2	0.997
STX10	VAMP4	0.997
YWHAG	YWHAH	0.997
NAPG	NAPA	0.997
AKT1	CTNNB1	0.997
ATP6V0D1	ATP6V1B1	0.997
RPS13	EIF3B	0.997
