option	alpha	beta	num_valid_clusters	largest_cluster	num_edges_in_clustergraph	num_clusters	go_enrichment	adhd_genes	adhd_enriched_genes	autism_genes	autism_enriched_genes	bipolar_genes	bipolar_enriched_genes	mdd_genes	mdd_enriched_genes	schizophrenia_genes	schizophrenia_enriched_genes	gd_mean	gd_min	gd_25%	gd_75%	gd_max	md_mean	md_min	md_25%	md_75%	md_max
2	0.1	0.5	59	1196	715323	59.0	28.0	14.0	5.0	12.0	3.0	1.0	0.0	3.0	0.0	16.0	0.0	14.75	3.0	3.0	15.75	48.0	26.533333333333335	2.0	4.0	11.5	607.0
2	0.1	0.6	381	835	361627	381.0	79.0	14.0	5.0	12.0	3.0	1.0	0.0	3.0	0.0	16.0	5.0	11.606060606060606	1.0	1.0	2.0	318.0	15.353403141361257	2.0	5.0	15.0	289.0
2	0.1	0.7	799	510	156491	799.0	84.0	14.0	5.0	12.0	3.0	1.0	0.0	3.0	0.0	16.0	5.0	19.023255813953487	1.0	1.0	1.0	740.0	12.92875	1.0	4.0	14.0	287.0
2	0.1	0.8	1425	115	35240	1425.0	85.0	14.0	5.0	12.0	4.0	1.0	0.0	3.0	2.0	16.0	6.0	75.0	1.0	1.0	1.0	1407.0	8.03366058906031	1.0	4.0	9.0	115.0
2	0.1	0.9	1584	49	28182	1584.0	83.0	14.0	5.0	12.0	4.0	1.0	0.0	3.0	0.0	16.0	3.0	99.0	1.0	1.0	1.0	1569.0	6.935646687697161	1.0	4.0	8.0	49.0
2	0.15	0.65	305	595	196655	305.0	75.0	14.0	5.0	12.0	5.0	1.0	0.0	3.0	0.0	16.0	7.0	30.8	1.0	1.0	2.5	287.0	20.11437908496732	2.0	7.0	21.0	409.0
2	0.15	0.66	315	566	187449	315.0	77.0	14.0	5.0	12.0	7.0	1.0	0.0	3.0	0.0	16.0	6.0	17.555555555555557	1.0	1.0	1.0	289.0	19.765822784810126	2.0	6.0	21.25	403.0
2	0.15	0.67	330	578	186508	330.0	79.0	14.0	5.0	12.0	7.0	1.0	0.0	3.0	2.0	16.0	6.0	25.615384615384617	1.0	1.0	3.0	301.0	19.308157099697887	2.0	6.0	21.0	366.0
2	0.15	0.68	327	611	204045	327.0	77.0	14.0	5.0	12.0	6.0	1.0	0.0	3.0	0.0	16.0	4.0	25.46153846153846	1.0	1.0	1.0	302.0	18.454268292682926	2.0	6.0	20.0	409.0
2	0.15	0.69	360	598	194408	360.0	78.0	14.0	5.0	12.0	4.0	1.0	0.0	3.0	2.0	16.0	5.0	30.166666666666668	1.0	1.0	2.0	336.0	19.022160664819946	2.0	6.0	22.0	417.0
2	0.15	0.7	362	628	212714	362.0	76.0	14.0	5.0	12.0	6.0	1.0	0.0	3.0	0.0	16.0	5.0	19.68421052631579	1.0	1.0	1.5	329.0	19.881542699724516	2.0	7.0	22.0	418.0
2	0.15	0.71	359	485	145969	359.0	80.0	14.0	5.0	12.0	6.0	1.0	0.0	3.0	2.0	16.0	4.0	30.083333333333332	1.0	1.0	1.0	339.0	18.475	3.0	6.0	19.0	333.0
2	0.15	0.72	369	486	142486	369.0	77.0	14.0	5.0	12.0	3.0	1.0	0.0	3.0	2.0	16.0	3.0	25.066666666666666	1.0	1.0	2.0	339.0	16.964864864864865	3.0	6.0	20.0	253.0
2	0.15	0.73	422	428	112545	422.0	78.0	14.0	5.0	12.0	4.0	1.0	0.0	3.0	0.0	16.0	7.0	28.333333333333332	1.0	1.0	1.5	396.0	15.404255319148936	3.0	6.0	18.0	325.0
2	0.15	0.74	440	408	107048	440.0	79.0	14.0	5.0	12.0	6.0	1.0	0.0	3.0	2.0	16.0	5.0	26.41176470588235	1.0	1.0	2.0	414.0	15.573696145124716	3.0	6.0	19.0	320.0
2	0.16	0.65	278	629	231741	278.0	77.0	14.0	5.0	12.0	4.0	1.0	0.0	3.0	0.0	16.0	5.0	25.454545454545453	1.0	1.0	2.5	254.0	20.258064516129032	2.0	8.0	21.0	421.0
2	0.16	0.66	304	605	207907	304.0	81.0	14.0	5.0	12.0	5.0	1.0	0.0	3.0	2.0	16.0	5.0	23.615384615384617	1.0	1.0	2.0	280.0	20.318032786885247	2.0	8.0	22.0	344.0
2	0.16	0.67	326	607	203904	326.0	78.0	14.0	5.0	12.0	6.0	1.0	0.0	3.0	2.0	16.0	3.0	23.428571428571427	1.0	1.0	1.75	299.0	20.0	3.0	7.0	20.5	394.0
2	0.16	0.68	334	569	179665	334.0	77.0	14.0	5.0	12.0	5.0	1.0	0.0	3.0	2.0	16.0	6.0	27.916666666666668	1.0	1.0	1.25	312.0	18.095522388059702	3.0	8.0	20.5	394.0
2	0.16	0.69	323	567	183718	323.0	79.0	14.0	5.0	12.0	5.0	1.0	0.0	3.0	2.0	16.0	5.0	29.727272727272727	1.0	1.0	2.0	303.0	19.08641975308642	3.0	6.0	21.0	409.0
2	0.16	0.7	320	507	153250	320.0	78.0	14.0	5.0	12.0	6.0	1.0	0.0	3.0	0.0	16.0	7.0	21.666666666666668	1.0	1.0	2.0	294.0	19.869158878504674	3.0	6.0	21.0	306.0
2	0.16	0.71	338	493	153185	338.0	77.0	14.0	5.0	12.0	6.0	1.0	0.0	3.0	0.0	16.0	8.0	30.818181818181817	1.0	1.0	2.5	316.0	19.41592920353982	3.0	6.0	20.0	395.0
2	0.16	0.72	373	423	115438	373.0	77.0	14.0	5.0	12.0	3.0	1.0	0.0	3.0	2.0	16.0	7.0	34.09090909090909	1.0	1.0	1.5	357.0	18.328877005347593	3.0	6.0	21.0	362.0
2	0.16	0.73	376	436	123820	376.0	79.0	14.0	5.0	12.0	3.0	1.0	0.0	3.0	0.0	16.0	6.0	25.2	1.0	1.0	1.5	350.0	17.246684350132625	3.0	6.0	20.0	280.0
2	0.16	0.74	386	353	92884	386.0	79.0	14.0	5.0	12.0	3.0	1.0	0.0	3.0	0.0	16.0	3.0	27.714285714285715	1.0	1.0	1.0	367.0	16.405684754521964	3.0	6.0	19.0	303.0
2	0.17	0.65	291	678	241218	291.0	77.0	14.0	5.0	12.0	7.0	1.0	0.0	3.0	2.0	16.0	5.0	29.1	1.0	1.0	1.0	270.0	19.90753424657534	3.0	8.0	22.0	431.0
2	0.17	0.66	288	619	211932	288.0	79.0	14.0	4.0	12.0	4.0	1.0	0.0	3.0	2.0	16.0	5.0	24.166666666666668	1.0	1.0	1.0	268.0	20.688581314878892	3.0	8.0	23.0	418.0
2	0.17	0.67	312	565	183814	312.0	79.0	14.0	5.0	12.0	6.0	1.0	0.0	3.0	0.0	16.0	6.0	26.333333333333332	1.0	1.0	2.25	288.0	19.6741214057508	3.0	8.0	23.0	356.0
2	0.17	0.68	325	643	221679	325.0	76.0	14.0	5.0	12.0	7.0	1.0	0.0	3.0	2.0	16.0	8.0	23.785714285714285	1.0	1.0	2.75	301.0	20.150306748466257	3.0	8.0	22.0	458.0
2	0.17	0.69	318	587	198841	318.0	78.0	14.0	5.0	12.0	3.0	1.0	0.0	3.0	2.0	16.0	5.0	24.76923076923077	1.0	1.0	1.0	296.0	20.811912225705328	3.0	7.0	21.0	409.0
2	0.17	0.7	321	544	172766	321.0	78.0	14.0	5.0	12.0	6.0	1.0	0.0	3.0	0.0	16.0	6.0	19.11764705882353	1.0	1.0	1.0	299.0	21.074534161490682	3.0	7.25	21.0	406.0
2	0.17	0.71	358	487	139367	358.0	80.0	14.0	5.0	12.0	3.0	1.0	0.0	3.0	0.0	16.0	6.0	25.857142857142858	1.0	1.0	1.0	339.0	19.768802228412255	3.0	7.0	22.0	360.0
2	0.17	0.72	351	480	155473	351.0	78.0	14.0	5.0	12.0	3.0	1.0	0.0	3.0	2.0	16.0	3.0	25.142857142857142	1.0	1.0	2.0	324.0	17.93465909090909	3.0	6.0	19.0	327.0
2	0.17	0.73	363	436	120499	363.0	78.0	14.0	5.0	12.0	4.0	1.0	0.0	3.0	0.0	16.0	5.0	28.0	1.0	1.0	2.0	341.0	18.313186813186814	3.0	6.0	20.0	315.0
2	0.17	0.74	372	389	103729	372.0	78.0	14.0	5.0	12.0	3.0	1.0	0.0	3.0	0.0	16.0	4.0	25.0	1.0	1.0	1.5	352.0	17.664879356568363	3.0	6.0	20.0	336.0
2	0.18	0.65	270	705	261845	270.0	78.0	14.0	5.0	12.0	7.0	1.0	0.0	3.0	2.0	16.0	3.0	22.75	1.0	1.0	1.25	249.0	22.74169741697417	3.0	8.0	23.0	471.0
2	0.18	0.66	248	593	198905	248.0	77.0	14.0	5.0	12.0	6.0	1.0	0.0	3.0	2.0	16.0	3.0	31.0	1.0	1.0	3.5	231.0	22.429718875502008	3.0	8.0	23.0	405.0
2	0.18	0.67	305	667	237025	305.0	77.0	14.0	5.0	12.0	7.0	1.0	0.0	3.0	2.0	16.0	8.0	26.0	1.0	1.0	2.25	284.0	20.607843137254903	3.0	8.0	21.0	442.0
2	0.18	0.68	296	606	205828	296.0	76.0	14.0	5.0	12.0	6.0	1.0	0.0	3.0	2.0	16.0	3.0	29.8	1.0	1.0	1.75	276.0	19.976430976430976	3.0	8.0	21.0	405.0
2	0.18	0.69	299	564	185319	299.0	79.0	14.0	5.0	12.0	7.0	1.0	0.0	3.0	0.0	16.0	4.0	23.53846153846154	1.0	1.0	3.0	277.0	21.83	3.0	8.0	21.0	409.0
2	0.18	0.7	325	561	173975	325.0	77.0	14.0	5.0	12.0	6.0	1.0	0.0	3.0	2.0	16.0	5.0	27.416666666666668	1.0	1.0	1.75	304.0	20.595092024539877	3.0	8.0	23.0	393.0
2	0.18	0.71	302	556	176458	302.0	76.0	14.0	5.0	12.0	7.0	1.0	0.0	3.0	2.0	16.0	3.0	27.90909090909091	1.0	1.0	2.5	283.0	20.57095709570957	3.0	7.0	21.5	380.0
2	0.18	0.72	340	474	138036	340.0	78.0	14.0	5.0	12.0	3.0	1.0	0.0	3.0	2.0	16.0	5.0	31.09090909090909	1.0	1.0	1.0	322.0	20.020527859237536	3.0	7.0	21.0	302.0
2	0.18	0.73	325	392	105221	325.0	78.0	14.0	5.0	12.0	4.0	1.0	0.0	3.0	0.0	16.0	5.0	21.866666666666667	1.0	1.0	1.0	308.0	17.625766871165645	3.0	6.0	19.75	326.0
2	0.18	0.74	358	391	101783	358.0	77.0	14.0	5.0	12.0	6.0	1.0	0.0	3.0	0.0	16.0	5.0	30.083333333333332	1.0	1.0	2.0	338.0	17.35933147632312	3.0	6.0	20.0	293.0
2	0.19	0.65	261	740	286557	261.0	74.0	14.0	2.0	12.0	8.0	1.0	0.0	3.0	2.0	16.0	5.0	24.272727272727273	1.0	1.0	3.0	238.0	21.50763358778626	3.0	8.0	20.0	484.0
2	0.19	0.66	246	672	246664	246.0	79.0	14.0	5.0	12.0	8.0	1.0	0.0	3.0	2.0	16.0	5.0	27.444444444444443	1.0	1.0	2.0	225.0	21.546558704453442	3.0	8.0	21.0	458.0
