Parent	Child	EdgeType
1283	GSG1L	Gene-Term
1283	VWC2	Gene-Term
1283	NRN1	Gene-Term
1284	C11orf85	Gene-Term
1284	CCDC79	Gene-Term
1284	C15orf43	Gene-Term
1285	C1QB	Gene-Term
1285	C1QC	Gene-Term
1285	C4A	Gene-Term
1285	C4B	Gene-Term
1286	DDN	Gene-Term
1286	SYNPO	Gene-Term
1286	RAPGEF2	Gene-Term
1286	PTPRO	Gene-Term
1287	RAB3A	Gene-Term
1287	RAB3GAP1	Gene-Term
1287	DMXL2	Gene-Term
1287	RAB3GAP2	Gene-Term
1288	DMTN	Gene-Term
1288	ADD2	Gene-Term
1288	ADD3	Gene-Term
1288	ADD1	Gene-Term
1289	LRRC7	Gene-Term
1289	CYFIP1	Gene-Term
1289	RAB27A	Gene-Term
1289	CHI3L1	Gene-Term
1290	ALCAM	Gene-Term
1290	GRASP	Gene-Term
1290	CNTN6	Gene-Term
1290	CD6	Gene-Term
1291	ABCC8	Gene-Term
1291	ABHD6	Gene-Term
1291	EIF2B3	Gene-Term
1291	PALMD	Gene-Term
1291	FBXL20	Gene-Term
1292	SNPH	Gene-Term
1292	BAI3	Gene-Term
1292	HAP1	Gene-Term
1292	TMEM163	Gene-Term
1292	C1QL3	Gene-Term
1293	USH2A	Gene-Term
1293	CLRN1	Gene-Term
1293	TULP1	Gene-Term
1293	CNGB1	Gene-Term
1293	PRPH2	Gene-Term
1294	HDAC4	Gene-Term
1294	EIF2B2	Gene-Term
1294	DRP2	Gene-Term
1294	MAP1LC3A	Gene-Term
1294	MAP1S	Gene-Term
1295	VPS35	Gene-Term
1295	ATP6V0D1	Gene-Term
1295	USP48	Gene-Term
1295	XRN1	Gene-Term
1295	CDC42SE2	Gene-Term
1296	NPTN	Gene-Term
1296	NIPSNAP1	Gene-Term
1296	ATP2B1	Gene-Term
1296	MTHFR	Gene-Term
1296	ZNF365	Gene-Term
1297	PACSIN1	Gene-Term
1297	PSMC4	Gene-Term
1297	ANKS1B	Gene-Term
1297	TRIP4	Gene-Term
1297	PHACTR1	Gene-Term
1298	STAC3	Gene-Term
1298	SARM1	Gene-Term
1298	NMNAT2	Gene-Term
1298	ZNRF1	Gene-Term
1298	KMO	Gene-Term
1299	MICAL1	Gene-Term
1299	IQSEC3	Gene-Term
1299	ERC1	Gene-Term
1299	PHLDB2	Gene-Term
1299	BCL11A	Gene-Term
1300	ABHD17A	Gene-Term
1300	ABHD6	Gene-Term
1300	EIF2B3	Gene-Term
1300	ABHD17C	Gene-Term
1300	ABHD17B	Gene-Term
1301	PLAT	Gene-Term
1301	SERPINI1	Gene-Term
1301	CLSTN1	Gene-Term
1301	PSD3	Gene-Term
1301	PREPL	Gene-Term
1302	GRID2IP	Gene-Term
1302	ROR1	Gene-Term
1302	DAGLB	Gene-Term
1302	BMPR2	Gene-Term
1302	DNMBP	Gene-Term
1303	MYO7A	Gene-Term
1303	RAD51B	Gene-Term
1303	CASK	Gene-Term
1303	NDEL1	Gene-Term
1303	FCHSD2	Gene-Term
