option	alpha	beta	num_valid_clusters	largest_cluster	num_edges_in_clustergraph	num_clusters	go_enrichment	adhd_genes	adhd_enriched_genes	autism_genes	autism_enriched_genes	bipolar_genes	bipolar_enriched_genes	mdd_genes	mdd_enriched_genes	schizophrenia_genes	schizophrenia_enriched_genes	gd_mean	gd_min	gd_25%	gd_75%	gd_max	md_mean	md_min	md_25%	md_75%	md_max
2	0.1	0.5	59	1196	715323	59.0	28.0	14.0	5.0	12.0	3.0	1.0	0.0	3.0	0.0	16.0	0.0	14.75	3.0	3.0	15.75	48.0	26.533333333333335	2.0	4.0	11.5	607.0
2	0.1	0.6	381	835	361627	381.0	79.0	14.0	5.0	12.0	3.0	1.0	0.0	3.0	0.0	16.0	5.0	11.606060606060606	1.0	1.0	2.0	318.0	15.353403141361257	2.0	5.0	15.0	289.0
2	0.1	0.7	799	510	156491	799.0	84.0	14.0	5.0	12.0	3.0	1.0	0.0	3.0	0.0	16.0	5.0	19.023255813953487	1.0	1.0	1.0	740.0	12.92875	1.0	4.0	14.0	287.0
2	0.1	0.8	1425	115	35240	1425.0	85.0	14.0	5.0	12.0	4.0	1.0	0.0	3.0	2.0	16.0	6.0	75.0	1.0	1.0	1.0	1407.0	8.03366058906031	1.0	4.0	9.0	115.0
2	0.1	0.9	1584	49	28182	1584.0	83.0	14.0	5.0	12.0	4.0	1.0	0.0	3.0	0.0	16.0	3.0	99.0	1.0	1.0	1.0	1569.0	6.935646687697161	1.0	4.0	8.0	49.0
2	0.2	0.5	14	1199	720712	14.0	21.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	4.666666666666667	2.0	2.0	6.0	10.0	103.8	7.0	11.0	62.5	695.0
2	0.2	0.6	213	801	329422	213.0	66.0	14.0	5.0	12.0	4.0	1.0	0.0	3.0	2.0	16.0	5.0	26.875	1.0	1.0	5.5	196.0	21.369158878504674	3.0	9.0	21.0	410.0
2	0.2	0.7	245	526	165721	245.0	70.0	14.0	5.0	12.0	8.0	1.0	0.0	3.0	2.0	16.0	6.0	25.0	1.0	1.0	3.5	230.0	25.21951219512195	3.0	9.0	23.0	398.0
2	0.2	0.8	236	66	28132	236.0	63.0	14.0	5.0	12.0	4.0	1.0	0.0	3.0	0.0	16.0	0.0	59.0	1.0	1.0	59.0	233.0	13.708860759493671	3.0	7.0	13.0	475.0
2	0.2	0.9	227	49	26182	227.0	61.0	14.0	5.0	12.0	4.0	1.0	0.0	3.0	0.0	16.0	0.0	227.0	227.0	227.0	227.0	227.0	12.868421052631579	3.0	6.0	12.0	492.0
2	0.3	0.5	8	1182	698905	8.0	17.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	2.6666666666666665	1.0	1.0	3.5	6.0	171.66666666666666	29.0	44.0	112.0	922.0
2	0.3	0.6	43	648	239793	43.0	54.0	14.0	3.0	12.0	5.0	1.0	0.0	3.0	2.0	16.0	5.0	10.75	1.0	1.0	14.25	33.0	60.47727272727273	4.0	10.0	45.5	479.0
2	0.3	0.7	47	553	167665	47.0	54.0	14.0	0.0	12.0	5.0	1.0	0.0	3.0	2.0	16.0	4.0	9.4	1.0	1.0	3.0	40.0	58.354166666666664	6.0	11.75	52.25	558.0
2	0.3	0.8	54	49	26231	54.0	51.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	54.0	54.0	54.0	54.0	54.0	27.89090909090909	4.0	7.0	15.0	798.0
2	0.3	0.9	57	49	26091	57.0	50.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	57.0	57.0	57.0	57.0	57.0	27.879310344827587	4.0	7.25	18.0	806.0
2	0.4	0.5	5	1197	719391	5.0	20.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	2.5	2.0	2.25	2.75	3.0	278.5	50.0	59.5	235.5	1093.0
2	0.4	0.6	32	900	409945	32.0	41.0	14.0	2.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	8.0	1.0	1.0	11.5	22.0	69.0909090909091	6.0	21.0	56.0	728.0
2	0.4	0.7	46	601	193867	46.0	56.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	4.0	15.333333333333334	1.0	3.5	22.5	39.0	55.148936170212764	6.0	12.0	49.5	534.0
2	0.4	0.8	43	49	26188	43.0	47.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	43.0	43.0	43.0	43.0	43.0	33.84090909090909	4.0	8.0	15.0	866.0
2	0.4	0.9	46	49	26092	46.0	47.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	46.0	46.0	46.0	46.0	46.0	32.808510638297875	4.0	8.0	17.5	865.0
2	0.5	0.5	5	1228	754065	5.0	20.0	14.0	0.0	12.0	4.0	1.0	0.0	3.0	0.0	16.0	0.0	2.5	2.0	2.25	2.75	3.0	239.83333333333334	48.0	51.25	87.5	1124.0
2	0.5	0.6	25	978	483008	25.0	35.0	14.0	5.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	9.0	12.5	6.0	9.25	15.75	19.0	93.84615384615384	10.0	23.75	84.75	833.0
2	0.5	0.7	21	561	171835	21.0	51.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	10.5	1.0	5.75	15.25	20.0	103.5	10.0	15.0	100.0	599.0
2	0.5	0.8	21	49	26207	21.0	44.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	21.0	21.0	21.0	21.0	21.0	62.0	7.0	10.25	27.0	950.0
2	0.5	0.9	23	49	26083	23.0	44.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	23.0	23.0	23.0	23.0	23.0	58.916666666666664	7.0	10.75	28.5	960.0
2	0.6	0.5	2	55	425395	2.0	20.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	2.0	2.0	2.0	2.0	2.0	428.0	50.0	52.5	617.0	1179.0
2	0.6	0.6	17	989	494213	17.0	32.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	5.666666666666667	1.0	3.0	8.0	11.0	114.22222222222223	10.0	30.0	80.5	853.0
2	0.6	0.7	12	50	37226	12.0	28.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	12.0	12.0	12.0	12.0	12.0	101.0	10.0	11.0	29.0	1079.0
2	0.6	0.8	17	49	26221	17.0	29.0	14.0	2.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	17.0	17.0	17.0	17.0	17.0	75.66666666666667	10.0	12.0	32.0	995.0
2	0.6	0.9	18	49	26092	18.0	40.0	14.0	2.0	12.0	2.0	1.0	0.0	3.0	0.0	16.0	0.0	18.0	18.0	18.0	18.0	18.0	71.6842105263158	10.0	12.0	29.0	996.0
2	0.7	0.5	2	55	655453	2.0	20.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	2.0	2.0	2.0	2.0	2.0	428.0	50.0	52.5	617.0	1179.0
2	0.7	0.6	11	982	489465	11.0	37.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	7.0	5.5	3.0	4.25	6.75	8.0	187.75	22.0	59.0	221.5	881.0
2	0.7	0.7	10	577	183012	10.0	44.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	5.0	2.0	3.5	6.5	8.0	174.8181818181818	10.0	40.0	192.5	668.0
2	0.7	0.8	15	49	26190	15.0	28.0	14.0	2.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	15.0	15.0	15.0	15.0	15.0	83.0	10.0	11.75	30.0	1030.0
2	0.7	0.9	16	49	26022	16.0	39.0	14.0	2.0	12.0	2.0	1.0	0.0	3.0	0.0	16.0	0.0	16.0	16.0	16.0	16.0	16.0	78.23529411764706	10.0	12.0	28.0	1019.0
2	0.8	0.5	1	50	673573	1.0	10.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	1.0	1.0	1.0	1.0	1.0	641.5	50.0	345.75	937.25	1233.0
2	0.8	0.6	6	978	484141	6.0	40.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	7.0	3.0	2.0	2.5	3.5	4.0	256.85714285714283	33.0	96.5	254.5	896.0
2	0.8	0.7	10	50	37292	10.0	28.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	10.0	10.0	10.0	10.0	10.0	118.54545454545455	10.0	11.5	31.0	1095.0
2	0.8	0.8	13	49	26190	13.0	28.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	13.0	13.0	13.0	13.0	13.0	93.85714285714286	10.0	11.25	32.0	1043.0
2	0.8	0.9	14	49	26022	14.0	39.0	14.0	0.0	12.0	2.0	1.0	0.0	3.0	0.0	16.0	0.0	14.0	14.0	14.0	14.0	14.0	87.73333333333333	10.0	11.5	30.5	1032.0
2	0.9	0.5	1	50	585785	1.0	10.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	1.0	1.0	1.0	1.0	1.0	641.5	50.0	345.75	937.25	1233.0
2	0.9	0.6	4	50	77729	4.0	20.0	14.0	2.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	4.0	4.0	4.0	4.0	4.0	257.0	10.0	12.0	50.0	1180.0
2	0.9	0.7	6	50	59250	6.0	20.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	6.0	6.0	6.0	6.0	6.0	184.14285714285714	10.0	11.0	41.5	1157.0
2	0.9	0.8	13	49	26191	13.0	22.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	13.0	13.0	13.0	13.0	13.0	94.42857142857143	10.0	11.25	32.0	1051.0
2	0.9	0.9	14	49	26022	14.0	35.0	14.0	0.0	12.0	2.0	1.0	0.0	3.0	0.0	16.0	0.0	14.0	14.0	14.0	14.0	14.0	88.26666666666667	10.0	11.5	30.5	1040.0
4	0.1	0.5	138	1450	1052932	138.0	29.0	14.0	5.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	27.8	1.0	1.0	9.0	119.0	18.237410071942445	2.0	2.0	9.0	882.0
4	0.1	0.6	500	894	413873	500.0	83.0	14.0	5.0	12.0	5.0	1.0	0.0	3.0	0.0	16.0	3.0	13.972222222222221	1.0	1.0	1.25	443.0	14.431137724550899	1.0	4.0	13.0	272.0
4	0.1	0.7	908	610	206690	908.0	81.0	14.0	4.0	12.0	6.0	1.0	0.0	3.0	2.0	16.0	3.0	19.595744680851062	1.0	1.0	1.0	831.0	11.45984598459846	1.0	4.0	12.0	251.0
