Parent	Child	EdgeType
1680	NTF3	Gene-Term
1680	EPHA4	Gene-Term
1680	CBLN4	Gene-Term
1680	CACNA1D	Gene-Term
1680	FRMPD4	Gene-Term
1680	PICK1	Gene-Term
1680	CACNG3	Gene-Term
1680	SHISA6	Gene-Term
1680	PPP1CA	Gene-Term
1680	MT3	Gene-Term
1680	GABRG2	Gene-Term
1680	DDN	Gene-Term
1680	KCNC1	Gene-Term
1680	DLG4	Gene-Term
1680	LGI1	Gene-Term
1680	GABRG1	Gene-Term
1680	GRID2	Gene-Term
1680	KCNJ9	Gene-Term
1680	SLC32A1	Gene-Term
1680	GABRA6	Gene-Term
1680	SH3GL2	Gene-Term
1680	ATP2B3	Gene-Term
1680	SHANK1	Gene-Term
1680	SCN2A	Gene-Term
1680	SNCB	Gene-Term
1680	SLC6A7	Gene-Term
1680	PPP1CC	Gene-Term
1680	CACNA1C	Gene-Term
1680	GABRD	Gene-Term
1680	CALY	Gene-Term
1680	GRIA4	Gene-Term
1680	OLFM2	Gene-Term
1680	GRIA3	Gene-Term
1680	SYNPR	Gene-Term
1680	GRIN1	Gene-Term
1680	DLG3	Gene-Term
1680	LAMA2	Gene-Term
1680	FLNA	Gene-Term
1680	SYN1	Gene-Term
1680	NRXN1	Gene-Term
1680	SNAP25	Gene-Term
1680	STX2	Gene-Term
1680	OLFM1	Gene-Term
1680	STX1B	Gene-Term
1680	VAMP7	Gene-Term
1680	UNC13B	Gene-Term
1680	DYSF	Gene-Term
1680	DLGAP1	Gene-Term
1680	SHANK2	Gene-Term
1680	DLG2	Gene-Term
1680	STX12	Gene-Term
1680	SLC2A4	Gene-Term
1680	VPS18	Gene-Term
1680	SLC17A9	Gene-Term
1680	SLC18A3	Gene-Term
1680	SYT11	Gene-Term
1680	UBA52	Gene-Term
1680	PACSIN2	Gene-Term
1680	SYNJ1	Gene-Term
1680	SH3GL1	Gene-Term
1680	DNAJC6	Gene-Term
1680	CCK	Gene-Term
1680	KCNQ3	Gene-Term
1680	SLC6A1	Gene-Term
1680	SLITRK2	Gene-Term
1680	NRXN2	Gene-Term
1680	HRH3	Gene-Term
1680	CBLN3	Gene-Term
1680	SORCS3	Gene-Term
1680	HORMAD1	Gene-Term
1680	SYCP3	Gene-Term
1680	SYCP1	Gene-Term
1680	GABRR3	Gene-Term
1680	GNRH1	Gene-Term
1680	PPP1R9B	Gene-Term
1680	NRG1	Gene-Term
1680	SLC6A2	Gene-Term
1680	GAD1	Gene-Term
1680	CNR1	Gene-Term
1680	SLC1A2	Gene-Term
1680	FAIM2	Gene-Term
1680	HPCA	Gene-Term
1680	NLGN4X	Gene-Term
1680	NLGN3	Gene-Term
1680	MYO5A	Gene-Term
1680	RAB21	Gene-Term
1680	PRRT1	Gene-Term
1680	BRSK1	Gene-Term
1680	TMEM230	Gene-Term
1680	IGSF9B	Gene-Term
1680	CAV3	Gene-Term
1680	JAK2	Gene-Term
1680	HDAC4	Gene-Term
1680	CALM1	Gene-Term
1680	CALM3	Gene-Term
1680	ITPR1	Gene-Term
1680	NIPSNAP1	Gene-Term
1680	TUFM	Gene-Term
1680	DMD	Gene-Term
1680	KCNQ2	Gene-Term
1680	MUSK	Gene-Term
1680	KCNJ2	Gene-Term
1680	DRP2	Gene-Term
1680	KCND3	Gene-Term
1680	NTSR1	Gene-Term
1680	SLC18A1	Gene-Term
1680	SLC1A7	Gene-Term
1680	SLC1A1	Gene-Term
1680	SLC1A3	Gene-Term
1680	KCNJ4	Gene-Term
1680	LAMP5	Gene-Term
1680	GABRB1	Gene-Term
1680	NPTXR	Gene-Term
1680	P2RX1	Gene-Term
1680	CNTNAP2	Gene-Term
1680	GABRE	Gene-Term
1680	C16orf70	Gene-Term
1680	CASK	Gene-Term
1680	GRID1	Gene-Term
1680	MAP1LC3A	Gene-Term
1680	SLC22A2	Gene-Term
1680	VPS35	Gene-Term
1680	ARL8B	Gene-Term
1680	BCR	Gene-Term
1680	SERPINI1	Gene-Term
1680	DLG5	Gene-Term
1680	ERC1	Gene-Term
1680	SLC1A6	Gene-Term
1680	SGTA	Gene-Term
1680	TMUB1	Gene-Term
1680	SLC7A10	Gene-Term
1680	SYNGR4	Gene-Term
1680	RIMS3	Gene-Term
1680	SNPH	Gene-Term
1680	PCDH8	Gene-Term
1680	RNF112	Gene-Term
