Parent	Child	EdgeType
1680	ACTN1	Gene-Term
1680	VTI1B	Gene-Term
1680	APP	Gene-Term
1680	ACTN2	Gene-Term
1680	IGF1	Gene-Term
1680	FGB	Gene-Term
1680	FGA	Gene-Term
1680	SPARC	Gene-Term
1680	SRGN	Gene-Term
1680	CLU	Gene-Term
1681	UBA52	Gene-Term
1681	CDC20	Gene-Term
1681	RNF19A	Gene-Term
1681	PJA2	Gene-Term
1681	NEDD4	Gene-Term
1681	TRIM9	Gene-Term
1681	FBXO2	Gene-Term
1681	FBXL20	Gene-Term
1681	ZNRF1	Gene-Term
1681	ZNRF2	Gene-Term
1682	TNC	Gene-Term
1682	APP	Gene-Term
1682	CDH2	Gene-Term
1682	PENK	Gene-Term
1682	ADAM10	Gene-Term
1682	FGA	Gene-Term
1682	WFS1	Gene-Term
1682	APOE	Gene-Term
1682	C4A	Gene-Term
1682	SPARCL1	Gene-Term
1683	PRKACA	Gene-Term
1683	RAB11A	Gene-Term
1683	RAB8A	Gene-Term
1683	TUBA1A	Gene-Term
1683	AKAP9	Gene-Term
1683	YWHAG	Gene-Term
1683	PRKAR2B	Gene-Term
1683	NDE1	Gene-Term
1683	YWHAE	Gene-Term
1683	DCTN2	Gene-Term
1683	NPHP4	Gene-Term
1684	CHRNB4	Gene-Term
1684	SCAMP1	Gene-Term
1684	SNAP25	Gene-Term
1684	SNAP23	Gene-Term
1684	ADAM10	Gene-Term
1684	DNAJC5	Gene-Term
1684	PLD1	Gene-Term
1684	RAP1A	Gene-Term
1684	PGRMC1	Gene-Term
1684	CD47	Gene-Term
1684	P2RX1	Gene-Term
1684	KCNAB2	Gene-Term
1685	DRD5	Gene-Term
1685	GNG3	Gene-Term
1685	ADRB1	Gene-Term
1685	ADCY8	Gene-Term
1685	GNB5	Gene-Term
1685	ADCYAP1	Gene-Term
1685	ADCY1	Gene-Term
1685	GHRH	Gene-Term
1685	DRD1	Gene-Term
1685	CRHR2	Gene-Term
1685	CALCA	Gene-Term
1685	ADORA2B	Gene-Term
1686	SRC	Gene-Term
1686	ITGB3	Gene-Term
1686	CNKSR2	Gene-Term
1686	ARRB2	Gene-Term
1686	ARRB1	Gene-Term
1686	HRAS	Gene-Term
1686	AP3B1	Gene-Term
1686	MAPK1	Gene-Term
1686	AKAP9	Gene-Term
1686	FXR1	Gene-Term
1686	FGB	Gene-Term
1686	PEBP1	Gene-Term
1686	BRAF	Gene-Term
1686	FGA	Gene-Term
1686	RAP1A	Gene-Term
1687	CHRNB4	Gene-Term
1687	CHRNB2	Gene-Term
1687	STXBP5	Gene-Term
1687	CHRNA4	Gene-Term
1687	CHRNA7	Gene-Term
1687	CHRNB3	Gene-Term
1687	CHRNA5	Gene-Term
1687	CHRNA2	Gene-Term
1687	CHRNA3	Gene-Term
1687	CHRND	Gene-Term
1687	CHRNA1	Gene-Term
1687	CHRNE	Gene-Term
1687	CHRNG	Gene-Term
1687	CHRNA9	Gene-Term
1687	CHRNB1	Gene-Term
1688	AGRN	Gene-Term
1688	SRC	Gene-Term
1688	LAMA2	Gene-Term
1688	ITGB1	Gene-Term
1688	PTK2	Gene-Term
1688	LAMA5	Gene-Term
1688	CHRM1	Gene-Term
1688	CTTN	Gene-Term
1688	PAK2	Gene-Term
1688	ARHGEF7	Gene-Term
1688	PAK3	Gene-Term
1688	DMD	Gene-Term
1688	UTRN	Gene-Term
1688	CHRNA1	Gene-Term
1688	RAPSN	Gene-Term
1689	VAMP2	Gene-Term
1689	VAMP7	Gene-Term
1689	RAB5C	Gene-Term
1689	PICALM	Gene-Term
1689	NAPA	Gene-Term
1689	HIP1R	Gene-Term
1689	GAK	Gene-Term
1689	HSPA8	Gene-Term
1689	ARRB1	Gene-Term
1689	DNAJC6	Gene-Term
1689	DTNBP1	Gene-Term
1689	AP3B1	Gene-Term
1689	SNAPIN	Gene-Term
1689	AP1S1	Gene-Term
1689	BLOC1S6	Gene-Term
1690	DLG4	Gene-Term
1690	SHANK1	Gene-Term
1690	DLG3	Gene-Term
1690	NLGN1	Gene-Term
1690	NRXN1	Gene-Term
1690	DLGAP1	Gene-Term
1690	SHANK2	Gene-Term
1690	DLG2	Gene-Term
1690	NRXN2	Gene-Term
1690	GRM5	Gene-Term
1690	GRM1	Gene-Term
1690	NLGN2	Gene-Term
1690	NLGN4X	Gene-Term
1690	NLGN3	Gene-Term
1690	DLGAP3	Gene-Term
1690	HOMER1	Gene-Term
1690	DLGAP4	Gene-Term
1690	DLGAP2	Gene-Term
1690	HOMER3	Gene-Term
1690	HOMER2	Gene-Term
1691	RAB11A	Gene-Term
1691	RAB3A	Gene-Term
1691	RAB8A	Gene-Term
1691	RAB3C	Gene-Term
1691	RAB27A	Gene-Term
1691	RAB10	Gene-Term
1691	RAB5C	Gene-Term
1691	RAB5A	Gene-Term
1691	RAB5B	Gene-Term
1691	RAB4A	Gene-Term
1691	RAB15	Gene-Term
1691	RAB27B	Gene-Term
1691	RAB26	Gene-Term
1691	RAB8B	Gene-Term
1691	RAB11B	Gene-Term
1691	RAB21	Gene-Term
1691	RAB6B	Gene-Term
1691	RAB18	Gene-Term
1691	RAB33B	Gene-Term
1691	RAB3B	Gene-Term
1691	RAB2B	Gene-Term
1692	LIN7A	Gene-Term
1692	VAMP2	Gene-Term
1692	SYT1	Gene-Term
1692	SYN1	Gene-Term
1692	CPLX1	Gene-Term
1692	STX1A	Gene-Term
1692	SYN3	Gene-Term
1692	SNAP25	Gene-Term
1692	RAB3A	Gene-Term
1692	SYN2	Gene-Term
1692	UNC13B	Gene-Term
1692	SLC18A2	Gene-Term
1692	RIMS1	Gene-Term
1692	CASK	Gene-Term
1692	LIN7B	Gene-Term
1692	PPFIA4	Gene-Term
1692	LIN7C	Gene-Term
1692	APBA1	Gene-Term
1692	PPFIA1	Gene-Term
1692	PPFIA3	Gene-Term
1692	PPFIA2	Gene-Term
1693	RPLP2	Gene-Term
1693	RPS3	Gene-Term
1693	UBA52	Gene-Term
1693	RPL18A	Gene-Term
1693	RPS13	Gene-Term
1693	RPL38	Gene-Term
1693	RPS23	Gene-Term
1693	RPS25	Gene-Term
1693	RPL5	Gene-Term
1693	RPLP0	Gene-Term
1693	RPS19	Gene-Term
1693	RPS18	Gene-Term
1693	RPS3A	Gene-Term
1693	RPL30	Gene-Term
1693	RPL8	Gene-Term
1693	RPL23	Gene-Term
1693	RPS9	Gene-Term
1693	RPS7	Gene-Term
1693	RPL10A	Gene-Term
1693	RPS14	Gene-Term
1693	RPL12	Gene-Term
1693	RPS27	Gene-Term
1693	RPS20	Gene-Term
1693	RPS17	Gene-Term
1693	RPL24	Gene-Term
1693	RPS21	Gene-Term
1693	KCNA6	Gene-Term
1693	KCNA3	Gene-Term
1694	RPS3	Gene-Term
1694	RPL18A	Gene-Term
1694	RPL7	Gene-Term
1694	RPL3	Gene-Term
1694	RPS13	Gene-Term
1694	RPL38	Gene-Term
1694	RPS23	Gene-Term
1694	RPS25	Gene-Term
1694	RPL5	Gene-Term
1694	RPLP0	Gene-Term
1694	RPS19	Gene-Term
1694	RPS18	Gene-Term
1694	RPS3A	Gene-Term
1694	RPL30	Gene-Term
1694	RPL8	Gene-Term
1694	RPL23	Gene-Term
1694	RPS9	Gene-Term
1694	RPS7	Gene-Term
1694	RPL10A	Gene-Term
1694	RPS14	Gene-Term
1694	RPL12	Gene-Term
1694	RPS27	Gene-Term
1694	EEF2	Gene-Term
1694	RPL6	Gene-Term
1694	RPL14	Gene-Term
1694	RPS20	Gene-Term
1694	RPS21	Gene-Term
1694	GNB2L1	Gene-Term
1695	GNG3	Gene-Term
1695	CHRM1	Gene-Term
1695	APP	Gene-Term
1695	NTS	Gene-Term
1695	CCK	Gene-Term
1695	CASR	Gene-Term
1695	GNRH1	Gene-Term
1695	GNB5	Gene-Term
1695	LPAR1	Gene-Term
1695	GRM5	Gene-Term
1695	NMU	Gene-Term
1695	OXT	Gene-Term
1695	HCRT	Gene-Term
1695	GRM1	Gene-Term
1695	ANXA1	Gene-Term
1695	PLCB1	Gene-Term
1695	F2R	Gene-Term
1695	P2RY1	Gene-Term
1695	CHRM3	Gene-Term
1695	CHRM5	Gene-Term
1695	ADRA1A	Gene-Term
1695	NTSR1	Gene-Term
1695	HTR2A	Gene-Term
1695	HTR2B	Gene-Term
1695	GHSR	Gene-Term
1695	PLCB3	Gene-Term
1695	NPFF	Gene-Term
1695	PLCB4	Gene-Term
1696	RPLP2	Gene-Term
1696	UBA52	Gene-Term
1696	RPL18A	Gene-Term
1696	RPL7	Gene-Term
1696	RPS13	Gene-Term
1696	RPL38	Gene-Term
1696	RPS23	Gene-Term
1696	RPS25	Gene-Term
1696	RPL5	Gene-Term
1696	RPLP0	Gene-Term
1696	RPS19	Gene-Term
1696	RPS18	Gene-Term
1696	RPS3A	Gene-Term
1696	RPL30	Gene-Term
1696	RPL8	Gene-Term
1696	RPL23	Gene-Term
1696	RPS9	Gene-Term
1696	RPS7	Gene-Term
1696	RPL10A	Gene-Term
1696	RPS14	Gene-Term
1696	RPL12	Gene-Term
1696	RPS27	Gene-Term
1696	RPL6	Gene-Term
1696	RPL14	Gene-Term
1696	RPS17	Gene-Term
1696	RPL24	Gene-Term
1696	RPS21	Gene-Term
1696	RPL36A	Gene-Term
1697	RPS3	Gene-Term
1697	UBA52	Gene-Term
1697	RPL18A	Gene-Term
1697	RPL7	Gene-Term
1697	RPL3	Gene-Term
1697	RPS13	Gene-Term
1697	RPL38	Gene-Term
1697	RPS23	Gene-Term
1697	RPS25	Gene-Term
1697	RPL5	Gene-Term
1697	RPLP0	Gene-Term
1697	RPS19	Gene-Term
1697	RPS18	Gene-Term
1697	RPS3A	Gene-Term
1697	RPL30	Gene-Term
1697	RPL8	Gene-Term
1697	RPL23	Gene-Term
1697	RPS9	Gene-Term
1697	RPS7	Gene-Term
1697	RPL10A	Gene-Term
1697	RPS14	Gene-Term
1697	RPL12	Gene-Term
1697	EEF2	Gene-Term
1697	RPL6	Gene-Term
1697	RPL14	Gene-Term
1697	RPS17	Gene-Term
1697	RPL24	Gene-Term
1697	RPS21	Gene-Term
1697	RPL10L	Gene-Term
1698	RPLP2	Gene-Term
1698	RPS3	Gene-Term
1698	UBA52	Gene-Term
1698	RPL18A	Gene-Term
1698	RPL7	Gene-Term
1698	RPS13	Gene-Term
1698	RPL38	Gene-Term
1698	RPS23	Gene-Term
1698	RPS25	Gene-Term
1698	RPL5	Gene-Term
1698	RPLP0	Gene-Term
1698	RPS19	Gene-Term
1698	RPS18	Gene-Term
1698	RPS3A	Gene-Term
1698	RPL30	Gene-Term
1698	RPL8	Gene-Term
1698	RPL23	Gene-Term
1698	RPS9	Gene-Term
1698	RPS7	Gene-Term
1698	RPL10A	Gene-Term
1698	RPS14	Gene-Term
1698	RPL12	Gene-Term
1698	RPS27	Gene-Term
1698	RPL6	Gene-Term
1698	RPL14	Gene-Term
1698	RPS20	Gene-Term
1698	RPS17	Gene-Term
1698	RPL24	Gene-Term
1698	RPS21	Gene-Term
1698	RPL37	Gene-Term
1699	RPS3	Gene-Term
1699	UBA52	Gene-Term
1699	RPL18A	Gene-Term
1699	RPL7	Gene-Term
1699	RPL3	Gene-Term
1699	RPS13	Gene-Term
1699	RPL38	Gene-Term
1699	RPS23	Gene-Term
1699	RPS25	Gene-Term
1699	RPL5	Gene-Term
1699	RPLP0	Gene-Term
1699	RPS19	Gene-Term
1699	RPS18	Gene-Term
1699	RPS3A	Gene-Term
1699	RPL30	Gene-Term
1699	RPL8	Gene-Term
1699	RPL23	Gene-Term
1699	RPS9	Gene-Term
1699	RPS7	Gene-Term
1699	RPL10A	Gene-Term
1699	RPS14	Gene-Term
1699	RPL12	Gene-Term
1699	RPS27	Gene-Term
1699	RPL6	Gene-Term
1699	RPL14	Gene-Term
1699	RPS20	Gene-Term
1699	RPS17	Gene-Term
1699	RPL24	Gene-Term
