Parent	Child	EdgeType
787	GNRH1	gene
787	NSMF	gene
788	DMD	gene
788	ZC4H2	gene
789	NDUFS7	gene
789	SYAP1	gene
790	SEC22B	gene
790	MPST	gene
791	ZACN	gene
791	HTR3D	gene
792	BCR	gene
792	SH2D5	gene
793	FUS	gene
793	CHRFAM7A	gene
794	SYP	gene
794	TPRG1L	gene
795	TMED9	gene
795	DBN1	gene
795	PRR7	gene
796	RGS14	gene
796	LPPR4	gene
796	PALMD	gene
797	CHAT	gene
797	OTOF	gene
797	CHRNA10	gene
798	VAMP2	gene
798	NAPG	gene
798	SYPL1	gene
799	C1QC	gene
799	C1QB	gene
799	C4A	gene
800	STX1A	gene
800	PLCG1	gene
800	NEDD4	gene
800	RNF40	gene
801	ARHGEF9	gene
801	GPHN	gene
801	SLITRK3	gene
801	C15orf59	gene
802	DNM2	gene
802	CHRNA4	gene
802	CHRNA7	gene
802	LYPD6	gene
803	SPARCL1	gene
803	CRYAB	gene
803	GPM6A	gene
803	FAM107A	gene
804	DLGAP1	gene
804	PPP1CC	gene
804	DLG5	gene
804	TANC2	gene
805	8-Sep	gene
805	1-Sep	gene
805	6-Sep	gene
805	11-Sep	gene
806	HNRNPD	gene
806	FUS	gene
806	HNRNPA3	gene
806	HNRNPH2	gene
807	GAD2	gene
807	RAB2B	gene
807	PTPRN	gene
807	ICA1	gene
808	PORCN	gene
808	APBA2	gene
808	FCHSD1	gene
808	RUSC1	gene
809	BDNF	gene
809	ARHGAP44	gene
809	IL1RAP	gene
809	NETO1	gene
809	SLITRK4	gene
810	HNRNPH2	gene
810	PVRL1	gene
810	ATP2B2	gene
810	PLEKHA5	gene
810	PDZD11	gene
811	CTNNB1	gene
811	NEDD4	gene
811	NDEL1	gene
811	TNIK	gene
811	TANC1	gene
812	DRD1	gene
812	SLC1A7	gene
812	SLC16A3	gene
812	SLC17A5	gene
812	EMB	gene
813	HRAS	gene
813	ITGB1	gene
813	RAP1A	gene
813	PRKACA	gene
813	RGS14	gene
814	LRRTM3	gene
814	DRD3	gene
814	ABLIM3	gene
814	PALMD	gene
814	IGSF11	gene
815	RPS27	gene
815	CTNNA2	gene
815	KIF5C	gene
815	LRFN5	gene
815	CLSTN1	gene
815	ATCAY	gene
816	SLC17A7	gene
816	GPC1	gene
816	SPARCL1	gene
816	AKAP7	gene
816	KCNK2	gene
816	SPOCK1	gene
817	MPDZ	gene
817	ABHD6	gene
817	KCTD8	gene
817	ABHD17B	gene
817	KCTD12	gene
817	ABHD17C	gene
818	STAT3	gene
818	PTEN	gene
818	RELA	gene
818	KPNA2	gene
818	KPNA1	gene
818	CANX	gene
819	SNAP23	gene
819	SYT2	gene
819	SYNPR	gene
819	SYP	gene
819	RAB3C	gene
819	SYNGR4	gene
819	CLSTN2	gene
820	SNAP25	gene
820	MAPK14	gene
820	ZNRF1	gene
820	MAP2	gene
820	SARM1	gene
820	NMNAT2	gene
820	LAMP5	gene
821	JAK2	gene
821	YWHAH	gene
821	ATP6V0D1	gene
821	ATP6V1B1	gene
821	ACTB	gene
821	SLC30A1	gene
821	SLC40A1	gene
822	RPL8	gene
822	EEF2	gene
822	DRD2	gene
822	DRD3	gene
822	DRD1	gene
822	CANX	gene
822	DARS	gene
823	EEA1	gene
823	DLGAP2	gene
823	GRIP1	gene
823	RAB4A	gene
823	SGTA	gene
823	GRIPAP1	gene
823	NSG1	gene
824	RAB10	gene
824	SCN2A	gene
824	GRIA3	gene
824	ERC1	gene
824	MICAL1	gene
824	SEMA4C	gene
824	BCL11A	gene
825	PSD	gene
825	PRKCZ	gene
825	PRKACA	gene
825	ENSG00000196689	gene
825	P2RX1	gene
825	P2RX4	gene
825	KCNK2	gene
825	ASIC1	gene
826	MYO5A	gene
826	ADD1	gene
826	ADD2	gene
826	MYH10	gene
826	ADD3	gene
826	SLC6A2	gene
826	DCLK1	gene
826	PPP1R9A	gene
826	BLVRB	gene
826	SLC22A2	gene
827	CTNND1	gene
827	GRM1	gene
827	FMR1	gene
827	DLG1	gene
827	MPP2	gene
827	HDAC4	gene
827	MAP1LC3A	gene
827	DAGLB	gene
827	NEURL1	gene
827	MIB1	gene
827	MAP1S	gene
828	PRRT2	gene
828	DRD2	gene
