Parent	Child	EdgeType
GO:0099629	SEPT8	Gene-Term
GO:0099629	SEPT1	Gene-Term
GO:0099629	SEPT6	Gene-Term
GO:0099629	SEPT11	Gene-Term
GO:0044327	HNRNPD	Gene-Term
GO:0044327	FUS	Gene-Term
GO:0044327	HNRNPA3	Gene-Term
GO:0044327	HNRNPH2	Gene-Term
GO:0098685	COPS5	Gene-Term
GO:0098685	COPS4	Gene-Term
GO:0098685	FBXO2	Gene-Term
GO:0098685	FBXL20	Gene-Term
GO:0098993	PSEN1	Gene-Term
GO:0098993	RAB5C	Gene-Term
GO:0098993	DNAJC5	Gene-Term
GO:0098993	ARL8A	Gene-Term
GO:0098993	SYNGR1	Gene-Term
GO:0099091	ACTN2	Gene-Term
GO:0099091	ACTN1	Gene-Term
GO:0099091	FGA	Gene-Term
GO:0099091	CLU	Gene-Term
GO:0099091	SRGN	Gene-Term
GO:0099524	FZD5	Gene-Term
GO:0099524	WNT5A	Gene-Term
GO:0099524	PLCB1	Gene-Term
GO:0099524	PLCB3	Gene-Term
GO:0099524	GNG3	Gene-Term
GO:0043197	RPS27	Gene-Term
GO:0043197	CDC42	Gene-Term
GO:0043197	PPP1CC	Gene-Term
GO:0043197	DYNLL2	Gene-Term
GO:0043197	NDEL1	Gene-Term
GO:0043083	LGI1	Gene-Term
GO:0043083	ADAM22	Gene-Term
GO:0043083	ADAM23	Gene-Term
GO:0043083	CACNG8	Gene-Term
GO:0043083	CACNG4	Gene-Term
GO:0098837	YWHAG	Gene-Term
GO:0098837	RAB11A	Gene-Term
GO:0098837	TUBA1A	Gene-Term
GO:0098837	PRKACA	Gene-Term
GO:0098837	NPHP4	Gene-Term
GO:0099026	AGRN	Gene-Term
GO:0099026	GPC1	Gene-Term
GO:0099026	GPC4	Gene-Term
GO:0099026	CSPG5	Gene-Term
GO:0099026	BCAN	Gene-Term
GO:0044326	CYFIP2	Gene-Term
GO:0044326	CYFIP1	Gene-Term
GO:0044326	FMR1	Gene-Term
GO:0044326	FXR2	Gene-Term
GO:0044326	NUFIP1	Gene-Term
GO:0099056	ATP6V0D1	Gene-Term
GO:0099056	FXYD6	Gene-Term
GO:0099056	ATP1A2	Gene-Term
GO:0099056	ATP1A3	Gene-Term
GO:0099056	ATP1A1	Gene-Term
GO:0098982	CNR1	Gene-Term
GO:0098982	DAGLB	Gene-Term
GO:0098982	DAGLA	Gene-Term
GO:0098982	ABHD6	Gene-Term
GO:0098982	NAAA	Gene-Term
GO:0034592	PENK	Gene-Term
GO:0034592	ADAM10	Gene-Term
GO:0034592	C4A	Gene-Term
GO:0034592	FGA	Gene-Term
GO:0034592	SPARCL1	Gene-Term
GO:0034592	WFS1	Gene-Term
GO:0008021	SEC22B	Gene-Term
GO:0008021	ARF1	Gene-Term
GO:0008021	ARFGAP1	Gene-Term
GO:0008021	KIF1A	Gene-Term
GO:0008021	KIF5A	Gene-Term
GO:0008021	TMED9	Gene-Term
GO:0099523	NEDD4	Gene-Term
GO:0099523	FBXO2	Gene-Term
GO:0099523	ZNRF1	Gene-Term
GO:0099523	ZNRF2	Gene-Term
GO:0099523	RNF19A	Gene-Term
GO:0099523	TRIM9	Gene-Term
GO:0099523	FBXL20	Gene-Term
GO:0099056	NRCAM	Gene-Term
GO:0099056	ANK3	Gene-Term
GO:0099056	ANK2	Gene-Term
GO:0099056	SPTBN1	Gene-Term
GO:0099056	SCN2A	Gene-Term
GO:0099056	ANK1	Gene-Term
GO:0099056	SCN10A	Gene-Term
GO:0099091	SRC	Gene-Term
GO:0099091	EPHB2	Gene-Term
GO:0099091	EGFR	Gene-Term
GO:0099091	STAT3	Gene-Term
GO:0099091	NTF3	Gene-Term
GO:0099091	NTRK3	Gene-Term
GO:0099091	PTPRO	Gene-Term
GO:0098871	ACTN2	Gene-Term
GO:0098871	ACTN1	Gene-Term
GO:0098871	ACTB	Gene-Term
GO:0098871	GRIN1	Gene-Term
GO:0098871	GRIN2D	Gene-Term
GO:0098871	PTK2B	Gene-Term
GO:0098871	PDLIM5	Gene-Term
GO:0031594	NAPA	Gene-Term
GO:0031594	NAPG	Gene-Term
GO:0031594	ANK3	Gene-Term
GO:0031594	ANK2	Gene-Term
GO:0031594	SPTBN1	Gene-Term
GO:0031594	ANK1	Gene-Term
GO:0031594	TMED9	Gene-Term
GO:0044327	MTOR	Gene-Term
GO:0044327	RPS6KB1	Gene-Term
GO:0044327	RHEB	Gene-Term
GO:0044327	GAK	Gene-Term
GO:0044327	MAF1	Gene-Term
GO:0044327	CRKL	Gene-Term
GO:0044327	HPCA	Gene-Term
GO:0098831	UNC13B	Gene-Term
GO:0098831	MYH10	Gene-Term
GO:0098831	PRKCZ	Gene-Term
GO:0098831	GRIN1	Gene-Term
GO:0098831	ATP2B2	Gene-Term
GO:0098831	ERC2	Gene-Term
GO:0098831	CABP4	Gene-Term
GO:0098837	SEC22B	Gene-Term
GO:0098837	CASK	Gene-Term
GO:0098837	GDI2	Gene-Term
GO:0098837	RAB11B	Gene-Term
GO:0098837	TRAPPC4	Gene-Term
GO:0098837	RAB33B	Gene-Term
GO:0098563	SYT1	Gene-Term
GO:0098563	CPLX1	Gene-Term
GO:0098563	BCAN	Gene-Term
GO:0098563	SYT10	Gene-Term
GO:0098563	SYNGR1	Gene-Term
GO:0098563	RAB3C	Gene-Term
GO:0098563	SVOP	Gene-Term
GO:0098831	APH1A	Gene-Term
GO:0098831	PSEN1	Gene-Term
GO:0098831	CTNNB1	Gene-Term
GO:0098831	ERBB4	Gene-Term
GO:0098831	ADAM10	Gene-Term
GO:0098831	BACE1	Gene-Term
GO:0098831	APBB1	Gene-Term
GO:0098831	MME	Gene-Term
GO:0014069	ARF1	Gene-Term
GO:0014069	ARFGAP1	Gene-Term
GO:0014069	ANK3	Gene-Term
GO:0014069	ANK2	Gene-Term
GO:0014069	SPTBN1	Gene-Term
GO:0014069	DYNLL2	Gene-Term
GO:0014069	ANK1	Gene-Term
GO:0014069	TMED9	Gene-Term
GO:0098688	MDM2	Gene-Term
GO:0098688	GRIA4	Gene-Term
GO:0098688	DLG1	Gene-Term
GO:0098688	CAMK2B	Gene-Term
GO:0098688	AKAP5	Gene-Term
GO:0098688	GRIA3	Gene-Term
GO:0098688	CACNG8	Gene-Term
GO:0098688	CACNG4	Gene-Term
GO:0044316	SLC32A1	Gene-Term
GO:0044316	GAD2	Gene-Term
GO:0044316	GABRG2	Gene-Term
GO:0044316	SLC17A7	Gene-Term
GO:0044316	SLC17A6	Gene-Term
GO:0044316	SYN1	Gene-Term
GO:0044316	GABRD	Gene-Term
GO:0044316	SLC6A17	Gene-Term
GO:0098843	GAD1	Gene-Term
GO:0098843	WASF1	Gene-Term
GO:0098843	YWHAH	Gene-Term
GO:0098843	GABRA1	Gene-Term
GO:0098843	GRIA2	Gene-Term
GO:0098843	GRIA4	Gene-Term
GO:0098843	GRIA3	Gene-Term
GO:0098843	USP46	Gene-Term
GO:0060077	GAD1	Gene-Term
GO:0060077	SLC32A1	Gene-Term
GO:0060077	VAMP2	Gene-Term
GO:0060077	SNAP25	Gene-Term
GO:0060077	STX1A	Gene-Term
GO:0060077	SYT1	Gene-Term
GO:0060077	CPLX1	Gene-Term
GO:0060077	GAD2	Gene-Term
GO:0060077	DNAJC5	Gene-Term
GO:0099147	SRC	Gene-Term
GO:0099147	HRAS	Gene-Term
GO:0099147	AP3B1	Gene-Term
GO:0099147	ITGB3	Gene-Term
GO:0099147	RAP1A	Gene-Term
GO:0099147	ARRB1	Gene-Term
GO:0099147	ARRB2	Gene-Term
GO:0099147	FGA	Gene-Term
GO:0099147	CNKSR2	Gene-Term
GO:0098981	SNAP23	Gene-Term
GO:0098981	SNAP25	Gene-Term
GO:0098981	RAP1A	Gene-Term
GO:0098981	ADAM10	Gene-Term
GO:0098981	DNAJC5	Gene-Term
GO:0098981	PLD1	Gene-Term
GO:0098981	CHRNB4	Gene-Term
GO:0098981	P2RX1	Gene-Term
GO:0098981	PGRMC1	Gene-Term
GO:0043195	CRHR2	Gene-Term
GO:0043195	ADCYAP1	Gene-Term
GO:0043195	GHRH	Gene-Term
GO:0043195	CALCA	Gene-Term
GO:0043195	ADCY8	Gene-Term
