Parent	Child	EdgeType
GO:0030672	GO:0030129	Child-Parent
GO:0030672	GO:0098563	Child-Parent
GO:0030672	GO:0098850	Child-Parent
GO:0031594	GO:0098520	Child-Parent
GO:0031594	GO:0098521	Child-Parent
GO:0031594	GO:0098523	Child-Parent
GO:0031594	GO:0098527	Child-Parent
GO:0031594	GO:0098975	Child-Parent
GO:0032279	GO:0014069	Child-Parent
GO:0032279	GO:0097471	Child-Parent
GO:0032279	GO:0098985	Child-Parent
GO:0032279	GO:0106033	Child-Parent
GO:0032280	GO:0098983	Child-Parent
GO:0032280	GO:0099629	Child-Parent
GO:0032591	GO:1990780	Child-Parent
GO:0042734	GO:0036062	Child-Parent
GO:0042734	GO:0048787	Child-Parent
GO:0042734	GO:0098835	Child-Parent
GO:0042734	GO:0098888	Child-Parent
GO:0042734	GO:0098889	Child-Parent
GO:0043083	GO:0098965	Child-Parent
GO:0043195	GO:0061174	Child-Parent
GO:0043195	GO:0061175	Child-Parent
GO:0043195	GO:0097467	Child-Parent
GO:0043195	GO:0150086	Child-Parent
GO:0043195	GO:1990024	Child-Parent
GO:0043195	GO:1990025	Child-Parent
GO:0043195	GO:1990026	Child-Parent
GO:0043195	GO:1990027	Child-Parent
GO:0043195	GO:1990474	Child-Parent
GO:0043195	GO:1990476	Child-Parent
GO:0043195	GO:1990795	Child-Parent
GO:0043195	GO:1990796	Child-Parent
GO:0043197	GO:0044326	Child-Parent
GO:0043197	GO:0044327	Child-Parent
GO:0043197	GO:0061846	Child-Parent
GO:0043197	GO:0097444	Child-Parent
GO:0043197	GO:0097464	Child-Parent
GO:0043197	GO:0098836	Child-Parent
GO:0043679	GO:0043195	Child-Parent
GO:0043679	GO:0044305	Child-Parent
GO:0043679	GO:0044316	Child-Parent
GO:0043679	GO:0099096	Child-Parent
GO:0043679	GO:1990623	Child-Parent
GO:0044326	GO:0150004	Child-Parent
GO:0044456	GO:0030129	Child-Parent
GO:0044456	GO:0030672	Child-Parent
GO:0044456	GO:0034592	Child-Parent
GO:0044456	GO:0043083	Child-Parent
GO:0044456	GO:0044326	Child-Parent
GO:0044456	GO:0044327	Child-Parent
GO:0044456	GO:0048786	Child-Parent
GO:0044456	GO:0061846	Child-Parent
GO:0044456	GO:0071212	Child-Parent
GO:0044456	GO:0097060	Child-Parent
GO:0044456	GO:0097444	Child-Parent
GO:0044456	GO:0097445	Child-Parent
GO:0044456	GO:0098563	Child-Parent
GO:0044456	GO:0098682	Child-Parent
