#queryIndex	queryItem	stringId	preferredName	annotation
1	MME	9606.ENSP00000418525	MME	Neprilysin; Thermolysin-like specificity, but is almost confined on acting on polypeptides of up to 30 amino acids. Biologically important in the destruction of opioid peptides such as Met- and Leu-enkephalins by cleavage of a Gly-Phe bond. Able to cleave angiotensin-1, angiotensin-2 and angiotensin 1-9. Involved in the degradation of atrial natriuretic factor (ANF). Displays UV-inducible elastase activity toward skin preelastic and elastic fibers; Belongs to the peptidase M13 family
2	CBLN1	9606.ENSP00000219197	CBLN1	Cerebellin-1; Required for synapse integrity and synaptic plasticity. During cerebellar synapse formation, essential for the matching and maintenance of pre- and post-synaptic elements at parallel fiber-Purkinje cell synapses, the establishment of the proper pattern of climbing fiber-Purkinje cell innervation, and induction of long-term depression at parallel fiber-Purkinje cell synapses. Plays a role as a synaptic organizer that acts bidirectionally on both pre- and post-synaptic components. On the one hand induces accumulation of synaptic vesicles in the pre-synaptic part by binding  [...] 
3	SLC6A17	9606.ENSP00000330199	SLC6A17	Sodium-dependent neutral amino acid transporter SLC6A17; Functions as a sodium-dependent vesicular transporter selective for proline, glycine, leucine and alanine. In contrast to other members of this neurotransmitter transporter family, does not appear to be chloride-dependent (By similarity); Solute carriers
4	RPS27	9606.ENSP00000357555	RPS27	40S ribosomal protein S27; Component of the small ribosomal subunit. Required for proper rRNA processing and maturation of 18S rRNAs; Belongs to the eukaryotic ribosomal protein eS27 family
5	MTMR2	9606.ENSP00000345752	MTMR2	Myotubularin-related protein 2; Phosphatase that acts on lipids with a phosphoinositol headgroup. Has phosphatase activity towards phosphatidylinositol 3-phosphate and phosphatidylinositol 3,5-bisphosphate; Myotubularins
6	LRRTM2	9606.ENSP00000274711	LRRTM2	Leucine-rich repeat transmembrane neuronal protein 2; Involved in the development and maintenance of excitatory synapse in the vertebrate nervous system. Regulates surface expression of AMPA receptors and instructs the development of functional glutamate release sites. Acts as a ligand for the presynaptic receptors NRXN1-A and NRXN1-B (By similarity)
7	SYNGAP1	9606.ENSP00000403636	SYNGAP1	Ras/Rap GTPase-activating protein SynGAP; Major constituent of the PSD essential for postsynaptic signaling. Inhibitory regulator of the Ras-cAMP pathway. Member of the NMDAR signaling complex in excitatory synapses, it may play a role in NMDAR-dependent control of AMPAR potentiation, AMPAR membrane trafficking and synaptic plasticity. Regulates AMPAR- mediated miniature excitatory postsynaptic currents. Exhibits dual GTPase-activating specificity for Ras and Rap. May be involved in certain forms of brain injury, leading to long-term learning and memory deficits (By similarity); C2 and [...] 
8	SYT7	9606.ENSP00000444201	SYT7	Synaptotagmin-7; Ca(2+) sensor involved in Ca(2+)-dependent exocytosis of secretory and synaptic vesicles through Ca(2+) and phospholipid binding to the C2 domain (By similarity). Ca(2+) induces binding of the C2-domains to phospholipid membranes and to assembled SNARE-complexes; both actions contribute to triggering exocytosis (By similarity). SYT7 binds Ca(2+) with high affinity and slow kinetics compared to other synaptotagmins (By similarity). Involved in Ca(2+)-triggered lysosomal exocytosis, a major component of the plasma membrane repair. Ca(2+)- regulated delivery of lysosomal  [...] 
9	DNAJC6	9606.ENSP00000360108	DNAJC6	Putative tyrosine-protein phosphatase auxilin; Recruits HSPA8/HSC70 to clathrin-coated vesicles and promotes uncoating of clathrin-coated vesicles. Plays a role in clathrin-mediated endocytosis in neurons (By similarity); C2 tensin-type domain containing
10	AKAP7	9606.ENSP00000405252	AKAP7	A-kinase anchor protein 7 isoform gamma; Probably targets cAMP-dependent protein kinase (PKA) to the cellular membrane or cytoskeletal structures. The membrane- associated form reduces epithelial sodium channel (ENaC) activity, whereas the free cytoplasmic form may negatively regulate ENaC channel feedback inhibition by intracellular sodium; A-kinase anchoring proteins
11	GRIK2	9606.ENSP00000397026	GRIK2	Glutamate receptor ionotropic, kainate 2; Ionotropic glutamate receptor. L-glutamate acts as an excitatory neurotransmitter at many synapses in the central nervous system. Binding of the excitatory neurotransmitter L- glutamate induces a conformation change, leading to the opening of the cation channel, and thereby converts the chemical signal to an electrical impulse. The receptor then desensitizes rapidly and enters a transient inactive state, characterized by the presence of bound agonist. May be involved in the transmission of light information from the retina to the hypothalamus.  [...] 
12	KIF5C	9606.ENSP00000393379	KIF5C	Kinesin heavy chain isoform 5C; Mediates dendritic trafficking of mRNAs (By similarity). Kinesin is a microtubule-associated force-producing protein that may play a role in organelle transport; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family. Kinesin subfamily
13	PPP1CC	9606.ENSP00000341779	PPP1CC	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit; Protein phosphatase that associates with over 200 regulatory proteins to form highly specific holoenzymes which dephosphorylate hundreds of biological targets. Protein phosphatase 1 (PP1) is essential for cell division, and participates in the regulation of glycogen metabolism, muscle contractility and protein synthesis. Dephosphorylates RPS6KB1. Involved in regulation of ionic conductances and long-term synaptic plasticity. May play an important role in dephosphorylating substrates such as the postsynaptic density- asso [...] 
14	SLC6A4	9606.ENSP00000261707	SLC6A4	Sodium-dependent serotonin transporter; Serotonin transporter whose primary function in the central nervous system involves the regulation of serotonergic signaling via transport of serotonin molecules from the synaptic cleft back into the pre-synaptic terminal for re-utilization. Plays a key role in mediating regulation of the availability of serotonin to other receptors of serotonergic systems. Terminates the action of serotonin and recycles it in a sodium-dependent manner; Belongs to the sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family. SLC6A4 subfamily
15	GDI2	9606.ENSP00000369538	GDI2	Rab GDP dissociation inhibitor beta; Regulates the GDP/GTP exchange reaction of most Rab proteins by inhibiting the dissociation of GDP from them, and the subsequent binding of GTP to them
16	GABRG3	9606.ENSP00000479113	GABRG3	Gamma-aminobutyric acid receptor subunit gamma-3; GABA, the major inhibitory neurotransmitter in the vertebrate brain, mediates neuronal inhibition by binding to the GABA/benzodiazepine receptor and opening an integral chloride channel; Belongs to the ligand-gated ion channel (TC 1.A.9) family. Gamma-aminobutyric acid receptor (TC 1.A.9.5) subfamily. GABRG3 sub-subfamily
17	SYT9	9606.ENSP00000324419	SYT9	Synaptotagmin-9; May be involved in Ca(2+)-dependent exocytosis of secretory vesicles through Ca(2+) and phospholipid binding to the C2 domain or may serve as Ca(2+) sensors in the process of vesicular trafficking and exocytosis; Synaptotagmins
18	PLD2	9606.ENSP00000263088	PLD2	Phospholipase D2; May have a role in signal-induced cytoskeletal regulation and/or endocytosis; Phospholipases
19	GABRA2	9606.ENSP00000421828	GABRA2	Gamma-aminobutyric acid receptor subunit alpha-2; GABA, the major inhibitory neurotransmitter in the vertebrate brain, mediates neuronal inhibition by binding to the GABA/benzodiazepine receptor and opening an integral chloride channel; Gamma-aminobutyric acid type A receptor subunits
20	CHRM5	9606.ENSP00000372750	CHRM5	Muscarinic acetylcholine receptor M5; The muscarinic acetylcholine receptor mediates various cellular responses, including inhibition of adenylate cyclase, breakdown of phosphoinositides and modulation of potassium channels through the action of G proteins. Primary transducing effect is Pi turnover; Cholinergic receptors muscarinic
21	NOS1	9606.ENSP00000477999	NOS1	Nitric oxide synthase, brain; Produces nitric oxide (NO) which is a messenger molecule with diverse functions throughout the body. In the brain and peripheral nervous system, NO displays many properties of a neurotransmitter. Probably has nitrosylase activity and mediates cysteine S-nitrosylation of cytoplasmic target proteins such SRR; Belongs to the NOS family
22	BAIAP3	9606.ENSP00000324510	BAIAP3	BAI1 associated protein 3; C2 domain containing
23	GIPC1	9606.ENSP00000376753	GIPC1	PDZ domain-containing protein GIPC1; May be involved in G protein-linked signaling; Belongs to the GIPC family
